Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
juice,1,1,"[0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 13, 73, 88, 104, 105, 106, 109]",SVAT.tsv
i want juice,3,5,"[0, 5, 7, 104]",SVAT.tsv
i,1,24,"[0, 4, 24, 30, 33, 42, 44, 47, 48, 50, 56, 58, 73, 85, 87, 88, 103, 104, 109, 110, 112, 119, 122, 127, 133, 136, 142, 163, 167, 173, 176, 178, 186, 187, 198]",SVAT.tsv
want,1,95,"[0, 17, 93, 95, 101, 104, 119, 132, 141, 223]",SVAT.tsv
a,1,30,"[21, 23, 25, 27, 30, 34, 41, 42, 55, 72, 106, 110, 112, 113, 119, 122, 124, 138, 148, 163, 167, 220]",SVAT.tsv
be,1,23,"[14, 23, 30, 32, 34, 42, 44, 47, 48, 52, 60, 75, 88, 110, 113, 120, 156, 167, 186, 187, 198, 217]",SVAT.tsv
oh,1,71,"[27, 31, 32, 35, 43, 71, 116, 147, 171, 201, 207, 219, 221]",SVAT.tsv
ah,1,92,"[35, 91, 92, 93, 219]",SVAT.tsv
mm,1,37,"[28, 37, 38, 40, 51, 59, 68, 73, 74, 79, 89, 97, 108, 111, 123, 125, 143, 144, 151, 157, 161, 210, 211, 212, 223]",SVAT.tsv
one,1,148,"[30, 47, 110, 148, 149, 154, 155, 173, 178]",SVAT.tsv
look,1,56,"[55, 56, 96, 99, 170, 172, 196, 198, 202, 214]",SVAT.tsv
what,1,60,"[42, 60, 98, 119, 133, 198, 220]",SVAT.tsv
huh,1,64,"[63, 64, 65, 126]",SVAT.tsv
up,1,218,"[78, 80, 82, 84, 88, 218]",SVAT.tsv
flower,1,94,"[90, 94, 99, 100, 102, 103, 106, 107]",SVAT.tsv
a i,2,163,"[112, 163]",SVAT.tsv
woah,1,117,"[32, 117, 118]",SVAT.tsv
yummy,1,209,"[143, 208, 209, 210]",SVAT.tsv
s,1,153,"[150, 152, 153]",SVAT.tsv
two,1,159,"[122, 158, 159, 160, 162]",SVAT.tsv
hello,1,166,"[165, 166, 188, 190, 203]",SVAT.tsv
yuck,1,169,"[168, 169, 173, 174, 175, 176, 177, 215, 216]",SVAT.tsv
suppose,1,187,"[156, 187]",SVAT.tsv
three,1,195,"[192, 195, 197, 198, 199, 200]",SVAT.tsv
bee,1,195,"[194, 195]",SVAT.tsv
i want,2,7,"[0, 7, 104]",SVAT.tsv
so i,2,58,"[0, 58, 88]",SVAT.tsv
no,1,76,"[0, 57, 76, 90, 133, 135, 185, 193, 216, 220]",SVAT.tsv
so,1,122,"[0, 41, 49, 55, 121, 122, 138]",SVAT.tsv
do,1,26,"[2, 15, 17, 21, 26, 27, 29, 42, 47, 49, 51, 73, 78, 88, 93, 95, 120, 130, 132, 133, 134, 141, 178, 179, 181, 183, 223]",SVAT.tsv
well,1,42,"[2, 15, 17, 42, 106, 140, 146, 178, 184]",SVAT.tsv
some,1,26,"[4, 26, 42, 62, 66, 67, 69, 73, 93, 95, 109, 164, 223]",SVAT.tsv
get,1,34,"[4, 34, 47, 62, 67, 69, 109, 110, 112, 114, 121, 136, 138, 167]",SVAT.tsv
then,1,42,"[4, 21, 42, 52, 178]",SVAT.tsv
and,1,30,"[12, 27, 30, 33, 42, 44, 50, 52, 56, 110, 167, 173, 178, 206]",SVAT.tsv
like,1,32,"[12, 21, 25, 32, 41, 42, 44, 47, 50, 52, 54, 56, 73, 109, 110, 122, 141, 142, 176, 178, 202, 220]",SVAT.tsv
okay,1,15,"[14, 15, 19, 20, 22, 46, 48, 53, 62, 71, 121, 136, 137, 147, 225]",SVAT.tsv
milk,1,15,"[14, 15]",SVAT.tsv
smell,1,16,"[15, 16, 17, 21, 23, 25, 26, 27, 30, 32, 34, 39, 41]",SVAT.tsv
you,1,26,"[15, 17, 21, 23, 26, 27, 29, 32, 33, 34, 37, 39, 41, 45, 47, 49, 51, 52, 55, 60, 62, 66, 72, 73, 75, 78, 93, 95, 110, 114, 120, 128, 130, 132, 133, 134, 136, 138, 141, 146, 164, 185, 187, 220, 223, 227]",SVAT.tsv
erm,1,30,"[15, 30, 32, 37, 42, 44, 48, 56, 110, 119, 120, 122, 136, 171, 224, 227]",SVAT.tsv
it,1,32,"[15, 17, 21, 27, 32, 41, 52, 56, 60, 112, 128, 129, 130, 136, 141, 143, 178, 184, 186, 198, 217]",SVAT.tsv
can,1,32,"[15, 23, 32, 39, 42, 44, 47, 52, 72, 101]",SVAT.tsv
cos,1,48,"[15, 47, 48, 121, 122, 187]",SVAT.tsv
you can,2,52,"[15, 23, 39, 47, 52]",SVAT.tsv
do it,2,178,"[15, 21, 178]",SVAT.tsv
do you,2,26,"[17, 26, 27, 29, 49, 51, 73, 78, 93, 95, 120, 130, 133, 134, 141, 223]",SVAT.tsv
to,1,30,"[17, 25, 30, 33, 34, 42, 44, 45, 48, 56, 62, 66, 67, 69, 72, 85, 88, 107, 109, 110, 112, 120, 164, 167, 217]",SVAT.tsv
to smell,2,34,"[17, 34]",SVAT.tsv
me,1,67,"[17, 67, 69, 110, 131, 139, 173, 186]",SVAT.tsv
do you want,3,95,"[17, 95, 141]",SVAT.tsv
it's,1,19,"[14, 19, 21, 25, 27, 39, 48, 85, 90, 112, 114, 115, 121, 124, 138, 187]",SVAT.tsv
don't,1,24,"[21, 24, 48, 56, 58, 78, 85, 87, 88, 103, 119, 133, 138, 141, 198, 220]",SVAT.tsv
you know,2,26,"[21, 26, 27, 33, 37, 110, 120, 136, 220]",SVAT.tsv
just,1,30,"[21, 30, 32, 33, 34, 42, 47, 52, 72, 110, 119, 120, 122, 138, 142, 178, 217, 226]",SVAT.tsv
if,1,42,"[21, 27, 41, 42, 87, 101, 138, 186]",SVAT.tsv
know,1,42,"[21, 27, 33, 37, 42, 58, 73, 87, 107, 110, 119, 120, 136, 185, 198, 220]",SVAT.tsv
bite,1,101,"[21, 72, 101, 113]",SVAT.tsv
of,1,23,"[14, 23, 30, 41, 42, 44, 47, 52, 56, 101, 110, 121, 122, 136, 142, 220, 223]",SVAT.tsv
something,1,36,"[23, 36, 41, 88, 109, 136, 198]",SVAT.tsv
or,1,36,"[23, 36, 41, 42, 58, 109, 178]",SVAT.tsv
good,1,42,"[23, 25, 42, 85, 140, 223]",SVAT.tsv
not,1,52,"[23, 25, 47, 52, 90, 216, 220, 224]",SVAT.tsv
eat,1,214,"[23, 143, 164, 214, 217]",SVAT.tsv
trust,1,25,"[24, 25]",SVAT.tsv
but,1,42,"[25, 42, 47, 186]",SVAT.tsv
an,1,44,"[25, 27, 44, 202]",SVAT.tsv
only,1,48,"[25, 48, 52]",SVAT.tsv
your,1,75,"[25, 39, 49, 55, 75, 132, 138]",SVAT.tsv
it's good,2,85,"[25, 85]",SVAT.tsv
can't,1,27,"[24, 27]",SVAT.tsv
do you know,3,27,"[26, 27]",SVAT.tsv
can't smell,2,27,"[26, 27]",SVAT.tsv
oh yeah,2,32,"[27, 32, 171]",SVAT.tsv
that,1,32,"[27, 32, 34, 42, 47, 52, 56, 85, 88, 107, 110, 120, 121, 173, 178, 214, 223, 227]",SVAT.tsv
yeah,1,32,"[27, 32, 73, 109, 136, 140, 147, 171, 204, 206]",SVAT.tsv
