Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
so,1,41,"[0, 10, 15, 20, 22, 29, 41, 52, 73, 79, 111, 121, 123, 126, 127, 137, 138, 140, 160, 168, 179, 183, 184, 211, 221, 223, 234, 237, 247, 259, 261, 267, 270, 271, 276, 286, 287, 307, 311, 318, 322, 326, 338, 357, 361, 369, 379, 388, 410, 419, 440, 442, 454, 455, 458, 467, 469, 488, 494, 497, 545, 564, 589, 599, 614, 625, 632, 667, 682, 719, 727, 728, 734, 742, 743, 750, 824, 827, 848, 872, 879, 882, 884, 890, 909, 911, 915, 934, 947, 967, 987, 1071, 1097, 1117, 1145, 1147, 1159, 1170, 1178, 1180, 1189, 1191, 1199, 1213, 1215, 1230, 1242, 1274, 1295, 1301, 1309, 1316, 1319, 1343, 1370, 1428, 1452, 1458, 1493, 1525, 1527, 1543, 1552, 1572, 1578, 1586, 1594, 1601, 1623, 1654, 1691, 1734, 1750, 1756, 1799, 1827, 1829, 1835, 1838, 1851, 1852, 1854, 1867, 1877, 1888, 1902, 1907, 1916, 1917, 1929, 1936, 1940, 1954, 1961, 1969, 2004, 2011, 2014, 2040, 2046, 2058, 2064, 2067, 2079, 2080, 2122, 2126, 2142, 2146, 2190, 2201, 2208, 2222, 2237, 2260, 2274, 2288, 2292, 2316, 2321, 2322, 2326, 2338, 2359, 2369, 2396, 2399, 2417, 2429]",SP62.tsv
get,1,41,"[0, 20, 29, 33, 41, 73, 91, 151, 154, 162, 165, 185, 188, 191, 192, 204, 213, 219, 229, 234, 237, 265, 290, 291, 311, 315, 318, 332, 334, 338, 344, 357, 365, 369, 388, 402, 430, 445, 461, 462, 469, 472, 478, 483, 492, 508, 530, 591, 605, 606, 608, 623, 641, 691, 705, 716, 722, 725, 726, 740, 744, 753, 767, 780, 814, 816, 820, 866, 896, 909, 911, 913, 929, 936, 941, 1049, 1061, 1077, 1085, 1112, 1180, 1185, 1189, 1217, 1219, 1225, 1259, 1271, 1274, 1275, 1285, 1291, 1292, 1293, 1301, 1318, 1324, 1325, 1327, 1354, 1368, 1403, 1405, 1412, 1445, 1447, 1450, 1458, 1475, 1477, 1480, 1496, 1498, 1502, 1540, 1541, 1572, 1575, 1582, 1586, 1601, 1627, 1629, 1654, 1671, 1707, 1715, 1739, 1759, 1771, 1781, 1793, 1798, 1799, 1836, 1843, 1919, 1936, 1940, 1972, 1988, 2011, 2014, 2016, 2020, 2026, 2060, 2066, 2068, 2069, 2071, 2074, 2076, 2080, 2082, 2092, 2099, 2101, 2112, 2117, 2163, 2166, 2171, 2183, 2208, 2237, 2239, 2264, 2267, 2268, 2272, 2274, 2277, 2289, 2291, 2317, 2321, 2348, 2353, 2388, 2391, 2405]",SP62.tsv
no,1,83,"[0, 33, 73, 83, 92, 93, 95, 112, 128, 129, 141, 145, 148, 153, 160, 164, 165, 191, 205, 209, 210, 219, 222, 236, 245, 256, 265, 267, 283, 320, 394, 431, 448, 469, 476, 490, 505, 522, 536, 545, 547, 549, 550, 551, 559, 570, 571, 606, 608, 642, 643, 644, 650, 651, 652, 653, 654, 656, 668, 671, 683, 687, 692, 696, 705, 717, 722, 741, 756, 774, 790, 796, 826, 837, 867, 869, 877, 905, 906, 909, 910, 917, 918, 968, 978, 982, 984, 1007, 1009, 1034, 1035, 1062, 1104, 1112, 1125, 1132, 1133, 1135, 1161, 1162, 1169, 1175, 1176, 1219, 1230, 1233, 1288, 1302, 1305, 1316, 1342, 1365, 1375, 1377, 1378, 1390, 1392, 1396, 1418, 1422, 1431, 1444, 1446, 1450, 1451, 1455, 1458, 1471, 1472, 1474, 1487, 1508, 1535, 1536, 1537, 1563, 1572, 1626, 1627, 1630, 1638, 1662, 1663, 1695, 1701, 1704, 1722, 1723, 1724, 1730, 1732, 1766, 1771, 1798, 1811, 1857, 1859, 1869, 1936, 2014, 2036, 2038, 2055, 2213, 2286, 2287, 2290, 2369, 2381]",SP62.tsv
a,1,4,"[0, 4, 5, 7, 9, 15, 32, 33, 49, 58, 60, 64, 73, 86, 95, 112, 121, 127, 130, 137, 138, 151, 154, 155, 157, 178, 188, 211, 225, 229, 235, 245, 247, 249, 255, 257, 259, 262, 264, 267, 270, 276, 278, 280, 287, 302, 306, 311, 315, 322, 328, 332, 338, 339, 352, 369, 371, 375, 377, 380, 388, 396, 419, 420, 425, 442, 447, 459, 460, 469, 470, 478, 501, 504, 516, 535, 557, 594, 607, 611, 632, 633, 639, 645, 646, 654, 666, 690, 691, 696, 702, 709, 710, 716, 718, 726, 748, 751, 767, 787, 791, 799, 800, 805, 809, 820, 825, 831, 836, 838, 842, 862, 899, 900, 901, 904, 905, 909, 936, 945, 952, 954, 955, 986, 987, 1000, 1009, 1010, 1017, 1020, 1023, 1057, 1060, 1098, 1120, 1121, 1137, 1139, 1172, 1185, 1189, 1191, 1225, 1229, 1232, 1236, 1245, 1269, 1284, 1293, 1299, 1306, 1311, 1313, 1316, 1346, 1354, 1364, 1382, 1387, 1391, 1397, 1445, 1455, 1460, 1462, 1475, 1477, 1480, 1493, 1502, 1519, 1540, 1541, 1546, 1557, 1572, 1575, 1585, 1602, 1618, 1625, 1627, 1629, 1634, 1647, 1648, 1652, 1655, 1660, 1665, 1666, 1668, 1679, 1681, 1700, 1707, 1719, 1736, 1738, 1745, 1746, 1750, 1765, 1779, 1785, 1793, 1796, 1811, 1813, 1838, 1870, 1871, 1872, 1881, 1907, 1927, 1928, 1929, 1932, 1936, 1950, 1951, 1958, 1996, 2004, 2020, 2022, 2028, 2032, 2054, 2057, 2058, 2060, 2068, 2112, 2117, 2124, 2140, 2142, 2173, 2174, 2180, 2226, 2228, 2237, 2239, 2253, 2255, 2264, 2274, 2289, 2291, 2310, 2313, 2314, 2316, 2326, 2367, 2377, 2379, 2391]",SP62.tsv
get a,2,188,"[0, 33, 73, 188, 311, 315, 332, 388, 716, 726, 767, 820, 909, 1185, 1189, 1293, 1475, 1477, 1502, 1572, 1575, 2020, 2060, 2068, 2112, 2237, 2239, 2264, 2289, 2291, 2391]",SP62.tsv
i,1,32,"[0, 7, 15, 20, 22, 29, 31, 32, 33, 37, 46, 52, 69, 71, 73, 79, 82, 86, 91, 95, 106, 138, 140, 151, 156, 163, 168, 178, 180, 181, 183, 189, 192, 196, 209, 217, 219, 226, 227, 237, 241, 252, 255, 259, 265, 267, 270, 276, 278, 280, 289, 307, 309, 311, 338, 339, 340, 349, 357, 359, 363, 368, 369, 373, 375, 394, 410, 412, 432, 433, 435, 436, 438, 440, 472, 483, 494, 496, 512, 515, 520, 531, 536, 553, 554, 606, 612, 623, 644, 658, 659, 662, 664, 670, 672, 684, 687, 690, 692, 693, 694, 696, 711, 734, 740, 748, 783, 794, 797, 858, 866, 878, 891, 896, 899, 977, 979, 985, 998, 1020, 1035, 1060, 1061, 1064, 1081, 1137, 1141, 1145, 1149, 1153, 1154, 1160, 1176, 1178, 1180, 1182, 1185, 1191, 1194, 1202, 1208, 1225, 1229, 1238, 1242, 1289, 1295, 1305, 1306, 1316, 1319, 1322, 1335, 1337, 1338, 1341, 1343, 1345, 1354, 1356, 1364, 1366, 1370, 1372, 1373, 1377, 1410, 1429, 1434, 1454, 1455, 1478, 1479, 1486, 1496, 1502, 1519, 1527, 1548, 1571, 1621, 1622, 1626, 1629, 1661, 1671, 1688, 1703, 1704, 1705, 1714, 1715, 1716, 1718, 1720, 1725, 1731, 1755, 1771, 1796, 1798, 1799, 1814, 1838, 1842, 1847, 1849, 1911, 1913, 1965, 1968, 1983, 2011, 2014, 2016, 2020, 2026, 2032, 2046, 2049, 2053, 2067, 2074, 2099, 2101, 2109, 2142, 2163, 2169, 2171, 2173, 2180, 2181, 2183, 2187, 2190, 2192, 2197, 2201, 2208, 2210, 2217, 2222, 2226, 2229, 2230, 2237, 2270, 2272, 2274, 2290, 2294, 2295, 2310, 2317, 2350, 2355, 2379, 2381]",SP62.tsv
no i,2,1035,"[0, 33, 73, 209, 394, 1035, 1176, 1305, 1377, 1704, 2290, 2381]",SP62.tsv
yeah,1,19,"[3, 5, 19, 23, 26, 28, 36, 38, 44, 47, 48, 59, 62, 76, 87, 94, 101, 132, 149, 152, 170, 171, 197, 199, 207, 212, 213, 215, 217, 218, 228, 230, 234, 235, 239, 242, 250, 258, 260, 262, 263, 265, 270, 272, 289, 291, 293, 294, 298, 301, 303, 305, 316, 319, 323, 333, 335, 337, 341, 343, 350, 353, 358, 360, 364, 369, 378, 381, 383, 385, 395, 399, 401, 403, 416, 426, 428, 434, 437, 449, 471, 472, 473, 484, 488, 494, 509, 511, 513, 514, 518, 519, 523, 525, 533, 538, 539, 541, 556, 559, 574, 579, 580, 583, 584, 586, 590, 596, 600, 604, 605, 607, 609, 613, 615, 619, 621, 624, 628, 630, 631, 632, 635, 637, 639, 649, 662, 663, 665, 673, 679, 689, 694, 701, 706, 708, 711, 713, 720, 722, 727, 731, 733, 739, 756, 759, 763, 764, 765, 770, 778, 788, 798, 804, 806, 810, 812, 817, 825, 833, 839, 840, 841, 843, 845, 847, 851, 852, 855, 859, 864, 866, 878, 880, 886, 889, 893, 894, 898, 899, 914, 920, 921, 926, 931, 933, 934, 937, 944, 946, 949, 955, 959, 961, 963, 964, 966, 968, 976, 980, 981, 988, 991, 993, 996, 1001, 1010, 1015, 1024, 1028, 1030, 1043, 1055, 1059, 1061, 1068, 1069, 1077, 1082, 1099, 1110, 1111, 1115, 1121, 1128, 1131, 1134, 1148, 1156, 1171, 1177, 1183, 1184, 1198, 1203, 1207, 1211, 1212, 1216, 1222, 1223, 1228, 1230, 1231, 1235, 1236, 1239, 1241, 1243, 1248, 1258, 1260, 1262, 1263, 1281, 1283, 1285, 1287, 1292, 1294, 1295, 1300, 1307, 1328, 1331, 1345, 1349, 1350, 1351, 1354, 1355, 1359, 1367, 1369, 1379, 1381, 1385, 1400, 1404, 1406, 1408, 1413, 1417, 1424, 1426, 1433, 1437, 1441, 1448, 1453, 1457, 1461, 1465, 1468, 1470, 1478, 1479, 1481, 1490, 1492, 1494, 1496, 1500, 1510, 1512, 1514, 1515, 1520, 1522, 1524, 1528, 1531, 1539, 1545, 1549, 1551, 1561, 1563, 1565, 1568, 1573, 1574, 1579, 1580, 1587, 1590, 1595, 1600, 1603, 1606, 1608, 1611, 1613, 1616, 1619, 1621, 1622, 1624, 1626, 1631, 1632, 1633, 1635, 1642, 1644, 1649, 1650, 1658, 1668, 1675, 1683, 1687, 1696, 1713, 1717, 1726, 1728, 1735, 1740, 1750, 1751, 1752, 1757, 1763, 1764, 1765, 1771, 1774, 1775, 1776, 1780, 1782, 1786, 1791, 1794, 1795, 1810, 1812, 1814, 1819, 1825, 1828, 1830, 1831, 1838, 1839, 1843, 1846, 1862, 1863, 1867, 1873, 1875, 1876, 1880, 1886, 1887, 1890, 1898, 1899, 1900, 1904, 1915, 1920, 1923, 1931, 1937, 1939, 1942, 1957, 1959, 1967, 1972, 1975, 1976, 2002, 2009, 2012, 2014, 2015, 2017, 2019, 2021, 2023, 2025, 2027, 2031, 2033, 2035, 2037, 2045, 2059, 2061, 2063, 2068, 2072, 2077, 2087, 2091, 2097, 2100, 2102, 2103, 2106, 2107, 2119, 2128, 2129, 2139, 2141, 2145, 2147, 2150, 2152, 2155, 2158, 2160, 2162, 2167, 2168, 2169, 2170, 2171, 2176, 2180, 2182, 2184, 2188, 2189, 2191, 2193, 2202, 2204, 2206, 2215, 2218, 2221, 2225, 2227, 2232, 2239, 2251, 2254, 2259, 2260, 2265, 2272, 2275, 2279, 2283, 2297, 2299, 2301, 2305, 2316, 2318, 2329, 2331, 2332, 2333, 2336, 2341, 2343, 2354, 2358, 2365, 2371, 2374, 2384, 2385, 2387, 2394, 2407, 2408, 2411, 2416, 2419, 2420, 2423, 2427, 2433]",SP62.tsv
it,1,5,"[2, 4, 5, 7, 13, 17, 20, 22, 29, 57, 74, 80, 82, 84, 86, 95, 104, 126, 127, 138, 147, 151, 159, 168, 184, 203, 204, 211, 213, 216, 217, 223, 232, 242, 265, 267, 270, 271, 276, 277, 278, 286, 293, 302, 324, 334, 373, 382, 391, 424, 427, 432, 435, 454, 455, 474, 475, 483, 504, 511, 516, 517, 526, 527, 536, 579, 595, 605, 607, 608, 629, 631, 633, 634, 639, 643, 645, 648, 661, 666, 667, 675, 687, 688, 692, 695, 696, 714, 715, 716, 718, 722, 726, 727, 728, 735, 764, 770, 771, 782, 784, 785, 786, 807, 809, 818, 824, 834, 844, 859, 863, 866, 897, 903, 905, 971, 977, 979, 980, 990, 1006, 1012, 1013, 1017, 1023, 1029, 1031, 1034, 1035, 1036, 1057, 1061, 1066, 1073, 1090, 1091, 1100, 1114, 1119, 1143, 1150, 1158, 1176, 1189, 1199, 1202, 1207, 1221, 1229, 1242, 1257, 1282, 1286, 1288, 1289, 1290, 1295, 1306, 1323, 1364, 1368, 1376, 1378, 1382, 1397, 1434, 1443, 1480, 1484, 1485, 1496, 1498, 1499, 1502, 1514, 1525, 1527, 1534, 1538, 1543, 1557, 1558, 1567, 1570, 1572, 1582, 1586, 1591, 1617, 1621, 1625, 1626, 1637, 1645, 1647, 1651, 1661, 1662, 1664, 1668, 1671, 1700, 1701, 1707, 1718, 1721, 1723, 1724, 1729, 1730, 1731, 1732, 1737, 1756, 1765, 1768, 1779, 1780, 1788, 1789, 1790, 1798, 1810, 1843, 1849, 1853, 1860, 1872, 1907, 1922, 1924, 1929, 1950, 1952, 1985, 2023, 2024, 2028, 2035, 2036, 2037, 2039, 2040, 2041, 2046, 2047, 2053, 2099, 2103, 2109, 2114, 2122, 2124, 2138, 2161, 2169, 2178, 2180, 2181, 2187, 2192, 2198, 2201, 2208, 2212, 2214, 2217, 2245, 2253, 2266, 2270, 2274, 2294, 2296, 2300, 2302, 2310, 2331, 2335, 2338, 2340, 2342, 2355, 2357, 2359, 2360, 2362, 2379, 2381, 2383, 2398, 2422, 2423, 2427]",SP62.tsv
it be,2,242,"[5, 7, 151, 242, 286, 435, 483, 536, 595, 692, 695, 770, 807, 809, 897, 905, 1012, 1017, 1034, 1035, 1036, 1061, 1176, 1189, 1199, 1202, 1207, 1289, 1484, 1496, 1543, 1557, 1668, 1756, 1780, 1788, 1789, 1790, 1798, 1849, 1853, 1860, 1872, 1907, 1929, 2023, 2024, 2192, 2198, 2266, 2296, 2357, 2379, 2423]",SP62.tsv
