Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
the,1,1,"[0, 1, 2, 3, 7, 13, 15, 19, 23, 32, 34, 36, 37, 39, 41, 57, 67, 70, 76, 83, 85, 93, 110, 112, 116, 125, 133, 139, 151, 156, 157, 165, 173, 185, 194, 200, 204, 217, 226, 232, 239, 241, 246, 254, 258, 264, 266, 268, 270, 279, 280, 284, 291, 319, 354, 356, 363, 364, 365, 372, 373, 377, 401, 405, 407, 426, 431, 440, 444, 446, 450, 454, 457, 467, 471, 472, 477, 480, 488, 490, 500, 502, 504, 508, 512, 513, 522, 525, 528, 530, 532, 538, 542, 564, 568, 578, 582, 584, 586, 588, 589, 604, 605, 611, 619, 623, 627, 630, 635, 637, 638, 644, 651, 658, 667]",SHZP.tsv
erm,1,3,"[0, 3, 7, 13, 17, 19, 23, 41, 49, 83, 85, 101, 106, 133, 149, 151, 239, 254, 258, 262, 266, 288, 289, 301, 307, 317, 321, 327, 333, 343, 345, 353, 377, 401, 448, 454, 463, 465, 471, 474, 480, 488, 500, 522, 564, 575, 578, 600, 604, 619, 625, 627, 666]",SHZP.tsv
be,1,3,"[0, 3, 4, 7, 13, 27, 31, 32, 34, 37, 39, 44, 49, 55, 58, 60, 65, 67, 69, 74, 79, 83, 85, 91, 93, 96, 98, 99, 105, 107, 110, 116, 125, 141, 142, 150, 151, 169, 173, 197, 206, 217, 234, 239, 240, 243, 245, 250, 252, 254, 263, 264, 266, 270, 275, 288, 307, 316, 319, 322, 333, 334, 335, 337, 345, 347, 348, 349, 363, 372, 377, 379, 380, 381, 387, 388, 391, 393, 401, 407, 412, 423, 424, 426, 427, 428, 431, 435, 439, 446, 450, 454, 463, 476, 477, 480, 483, 499, 500, 508, 515, 522, 525, 528, 545, 546, 549, 551, 560, 570, 578, 582, 591, 594, 596, 602, 604, 607, 613, 615, 624, 629, 630, 645, 658, 662]",SHZP.tsv
wed,1,3,"[0, 3, 7, 39, 65, 70, 116, 189, 191, 217, 220, 221, 222, 225, 240, 316, 319, 401, 454, 477, 604, 648]",SHZP.tsv
and,1,3,"[0, 2, 3, 7, 13, 15, 17, 18, 23, 25, 26, 29, 31, 34, 36, 37, 39, 41, 47, 74, 82, 86, 88, 93, 106, 110, 120, 129, 130, 133, 135, 139, 146, 147, 153, 155, 156, 157, 165, 177, 180, 194, 200, 202, 209, 239, 246, 254, 258, 262, 265, 266, 268, 281, 282, 285, 288, 291, 301, 303, 307, 309, 317, 333, 341, 344, 345, 361, 370, 372, 373, 376, 377, 381, 385, 387, 388, 407, 424, 426, 442, 448, 454, 457, 463, 465, 471, 477, 488, 492, 494, 498, 500, 508, 512, 516, 518, 522, 525, 526, 528, 530, 532, 534, 538, 539, 550, 562, 564, 571, 573, 589, 597, 600, 601, 604, 605, 607, 617, 625, 627]",SHZP.tsv
you,1,5,"[0, 2, 4, 5, 7, 16, 17, 22, 23, 31, 37, 41, 44, 53, 57, 60, 61, 63, 74, 83, 85, 86, 92, 106, 110, 112, 120, 123, 130, 135, 139, 141, 150, 151, 153, 155, 157, 161, 165, 167, 173, 175, 194, 195, 209, 239, 246, 258, 262, 266, 272, 275, 282, 284, 299, 301, 303, 307, 309, 317, 339, 343, 345, 363, 373, 376, 380, 401, 414, 417, 419, 424, 438, 442, 449, 454, 465, 469, 471, 477, 480, 499, 508, 514, 526, 532, 584, 604, 607, 660, 667]",SHZP.tsv
be you,2,7,"[0, 4, 7]",SHZP.tsv
so,1,7,"[0, 7, 9, 13, 17, 22, 23, 29, 31, 39, 55, 67, 70, 81, 82, 85, 87, 101, 137, 149, 162, 197, 199, 204, 217, 230, 240, 244, 254, 258, 262, 263, 266, 268, 273, 284, 303, 316, 319, 345, 363, 369, 372, 377, 385, 397, 412, 438, 447, 448, 454, 457, 461, 462, 471, 499, 522, 525, 545, 546, 566, 595, 604, 607, 609, 611, 615, 618, 641]",SHZP.tsv
about,1,13,"[0, 13, 29, 46, 82, 133, 158, 217, 344, 430, 450, 454, 465, 477, 516, 564, 658]",SHZP.tsv
what,1,17,"[0, 10, 17, 18, 46, 82, 110, 158, 217, 227, 292, 316, 344, 345, 372, 461, 462]",SHZP.tsv
for,1,17,"[0, 17, 23, 36, 41, 67, 85, 116, 204, 206, 260, 266, 268, 282, 288, 289, 317, 401, 424, 446, 454, 465, 512, 562, 604, 658]",SHZP.tsv
we,1,29,"[0, 29, 161, 165, 167, 217, 239, 345, 363, 401, 428, 430, 528, 604, 607, 621, 646]",SHZP.tsv
talk,1,105,"[0, 105, 116, 217, 350, 430, 450, 454, 477, 604]",SHZP.tsv
about the,2,133,"[0, 133, 217, 477]",SHZP.tsv
and you,2,135,"[0, 2, 120, 135, 194, 282, 303, 309, 424, 442, 477, 532]",SHZP.tsv
so what be,3,372,"[0, 372]",SHZP.tsv
what be,2,372,"[0, 217, 372]",SHZP.tsv
right,1,233,"[0, 8, 40, 217, 233, 259, 267, 287, 302, 340, 382, 427, 433, 456, 588, 589, 607, 626, 638, 643, 664]",SHZP.tsv
be we,2,428,"[0, 217, 428]",SHZP.tsv
we talk about,3,430,"[0, 217, 430]",SHZP.tsv
talk about,2,430,"[0, 430, 450, 454]",SHZP.tsv
be talk about the,4,450,"[0, 450, 454]",SHZP.tsv
erm so,2,471,"[0, 471]",SHZP.tsv
wed and you,3,477,"[0, 477]",SHZP.tsv
we talk,2,604,"[0, 217, 604]",SHZP.tsv
wed and,2,604,"[0, 604]",SHZP.tsv
mother of the,3,2,"[1, 2]",SHZP.tsv
of,1,2,"[1, 2, 3, 4, 7, 13, 15, 23, 34, 37, 41, 52, 62, 82, 92, 106, 115, 116, 135, 136, 153, 155, 177, 194, 197, 254, 258, 266, 270, 301, 307, 363, 376, 377, 442, 445, 448, 454, 462, 467, 469, 471, 482, 504, 508, 522, 575, 578, 584, 586, 604, 648]",SHZP.tsv
go into the back of,5,3,"[2, 3]",SHZP.tsv
go,1,3,"[2, 3, 7, 23, 26, 31, 37, 54, 65, 151, 175, 186, 202, 246, 265, 266, 281, 316, 317, 319, 345, 377, 424, 488, 492, 500, 504, 506, 566, 586, 604, 656, 666]",SHZP.tsv
wardrobe,1,3,"[2, 3, 7]",SHZP.tsv
the back of,3,7,"[2, 7, 15]",SHZP.tsv
yeah,1,27,"[2, 27, 35, 38, 43, 50, 56, 57, 59, 64, 77, 79, 93, 97, 99, 105, 109, 114, 133, 167, 179, 181, 184, 192, 196, 200, 203, 205, 207, 212, 235, 249, 258, 295, 297, 313, 327, 329, 333, 335, 338, 342, 343, 347, 352, 353, 364, 369, 375, 377, 386, 392, 394, 395, 397, 399, 422, 429, 431, 434, 473, 475, 479, 485, 496, 503, 507, 515, 521, 524, 549, 554, 555, 556, 557, 558, 561, 575, 587, 589, 599, 602, 622, 624, 645, 647, 652, 653, 657]",SHZP.tsv
mother of,2,41,"[2, 41]",SHZP.tsv
the bride,2,41,"[2, 41, 373]",SHZP.tsv
into,1,74,"[2, 74, 252, 500]",SHZP.tsv
mother,1,139,"[2, 139]",SHZP.tsv
your,1,220,"[2, 220, 240, 248, 447, 551]",SHZP.tsv
of the,2,116,"[1, 2, 116, 270, 363, 504, 522, 584, 586]",SHZP.tsv
back,1,284,"[2, 217, 265, 284]",SHZP.tsv
a,1,4,"[3, 4, 7, 17, 23, 26, 31, 41, 49, 57, 62, 67, 74, 82, 83, 93, 106, 108, 112, 116, 120, 136, 151, 159, 168, 177, 189, 190, 191, 195, 196, 222, 230, 236, 239, 246, 250, 254, 266, 268, 282, 288, 289, 307, 317, 345, 346, 361, 377, 401, 417, 424, 438, 448, 454, 463, 472, 477, 494, 499, 500, 515, 532, 560, 562, 563, 573, 597, 615, 658]",SHZP.tsv
don't,1,17,"[4, 17, 28, 44, 120, 122, 123, 171, 175, 307, 333, 334, 336, 337, 345, 373, 449, 471, 604]",SHZP.tsv
or,1,17,"[4, 17, 62, 239, 309, 381, 401, 452, 464, 467, 504, 538, 566, 570, 572, 651]",SHZP.tsv
want,1,65,"[4, 28, 65, 175, 194, 266, 363, 376, 401, 465, 477]",SHZP.tsv
don't want,2,175,"[4, 175]",SHZP.tsv
a cup of,3,177,"[4, 177]",SHZP.tsv
coffee,1,177,"[4, 177]",SHZP.tsv
sure,1,345,"[4, 345, 487]",SHZP.tsv
want a,2,401,"[4, 401]",SHZP.tsv
mm,1,21,"[6, 21, 30, 33, 56, 66, 68, 73, 75, 80, 84, 95, 106, 111, 127, 128, 132, 134, 136, 138, 140, 152, 154, 164, 174, 187, 198, 214, 216, 223, 230, 242, 251, 253, 261, 269, 271, 283, 289, 300, 308, 310, 312, 314, 315, 318, 326, 332, 366, 374, 406, 408, 410, 415, 425, 432, 436, 441, 453, 458, 459, 460, 466, 468, 470, 472, 473, 478, 481, 487, 493, 500, 517, 519, 544, 577, 580, 585, 590, 603, 610, 612, 614, 616, 628, 640, 650, 655, 659, 661, 663, 664]",SHZP.tsv
oh,1,172,"[8, 12, 14, 24, 40, 94, 100, 150, 172, 188, 193, 219, 231, 233, 247, 255, 259, 263, 267, 287, 290, 301, 302, 304, 305, 340, 348, 349, 362, 364, 371, 402, 403, 411, 413, 421, 423, 445, 447, 455, 456, 491, 497, 505, 514, 533, 541, 550, 559, 565, 567, 569, 574, 579, 591, 592, 593, 599, 604, 606, 626, 636, 638, 643]",SHZP.tsv
oh right,2,233,"[8, 40, 233, 259, 267, 287, 302, 340, 456, 626, 638, 643]",SHZP.tsv
colour,1,393,"[10, 377, 393]",SHZP.tsv
have,1,16,"[3, 7, 15, 16, 17, 22, 28, 29, 31, 34, 39, 44, 52, 82, 83, 85, 86, 92, 96, 112, 183, 194, 234, 239, 240, 266, 282, 285, 286, 291, 307, 316, 341, 345, 356, 377, 401, 438, 448, 454, 467, 471, 474, 480, 488, 489, 492, 494, 499, 506, 522, 528, 568, 575, 604, 605, 613, 617, 621, 665]",SHZP.tsv
it,1,16,"[7, 13, 16, 17, 23, 25, 27, 28, 29, 49, 55, 57, 58, 77, 78, 79, 83, 85, 105, 141, 147, 155, 173, 182, 195, 197, 209, 210, 234, 239, 252, 303, 307, 322, 333, 334, 335, 337, 347, 348, 363, 387, 388, 390, 391, 392, 393, 396, 414, 426, 427, 428, 430, 435, 439, 440, 477, 495, 502, 506, 508, 515, 539, 540, 549, 551, 552, 563, 595, 596, 604, 608, 609, 613, 648, 658]",SHZP.tsv
alter,1,239,"[16, 239]",SHZP.tsv
can't,1,266,"[16, 266, 597]",SHZP.tsv
you have,2,401,"[16, 86, 401, 438, 454, 471]",SHZP.tsv
have it,2,613,"[16, 613]",SHZP.tsv
length,1,18,"[13, 18]",SHZP.tsv
that's,1,20,"[17, 20, 71, 109, 117, 118, 120, 129, 151, 185, 254, 282, 291, 306, 314, 319, 361, 363, 448, 455, 461, 595, 608]",SHZP.tsv
really,1,49,"[20, 28, 49, 57, 105, 147, 151, 166, 175, 211, 213, 252, 255, 257, 294, 345, 421, 424, 501, 523, 537, 543, 576, 596, 604, 608, 662]",SHZP.tsv
good,1,109,"[20, 109, 193, 213, 455, 564, 571, 608]",SHZP.tsv
look,1,22,"[17, 22, 23, 32, 34, 41, 239, 244, 256, 258, 377, 392, 454, 457, 578, 604, 617]",SHZP.tsv
where,1,67,"[22, 67, 240, 467, 499, 500, 578, 584]",SHZP.tsv
it's,1,24,"[7, 24, 26, 29, 49, 51, 57, 67, 76, 110, 122, 124, 153, 156, 190, 195, 199, 204, 213, 230, 231, 268, 274, 301, 334, 346, 405, 462, 477, 480, 502, 516, 535, 547, 548, 551, 560, 562, 563, 564, 587, 591, 608, 609, 639]",SHZP.tsv
to,1,26,"[7, 23, 26, 28, 29, 31, 34, 37, 39, 41, 44, 55, 65, 102, 105, 130, 147, 151, 169, 175, 186, 194, 199, 202, 209, 210, 217, 246, 265, 266, 270, 281, 282, 284, 285, 291, 301, 307, 309, 316, 317, 319, 345, 346, 363, 373, 401, 454, 465, 471, 477, 488, 490, 492, 494, 496, 513, 522, 528, 530, 566, 588, 589, 604, 611, 617, 656, 665, 666, 667]",SHZP.tsv
something,1,31,"[26, 31, 62, 333, 401, 464, 504, 571]",SHZP.tsv
it's a,2,67,"[26, 67, 190, 195, 477, 560]",SHZP.tsv
to go,2,175,"[26, 175, 246, 492]",SHZP.tsv
i,1,28,"[3, 7, 13, 15, 17, 23, 28, 29, 31, 32, 34, 36, 39, 41, 55, 58, 60, 63, 110, 113, 118, 120, 122, 126, 145, 151, 153, 157, 171, 178, 183, 192, 195, 200, 202, 230, 234, 239, 248, 277, 279, 299, 307, 317, 319, 334, 336, 342, 345, 347, 351, 354, 363, 373, 377, 379, 448, 471, 475, 477, 480, 488, 492, 500, 504, 513, 516, 536, 545, 550, 561, 563, 571, 578, 581, 591, 594, 597, 604, 639, 642, 645, 665, 666]",SHZP.tsv
do it,2,28,"[13, 28, 307, 363, 648]",SHZP.tsv
i i,2,28,"[17, 28, 29, 36, 41, 145, 195, 488, 591]",SHZP.tsv
do,1,28,"[13, 17, 28, 31, 82, 85, 102, 110, 112, 113, 130, 162, 165, 224, 258, 266, 268, 301, 307, 317, 331, 337, 354, 357, 358, 363, 365, 379, 400, 401, 464, 490, 506, 511, 514, 571, 642, 648, 649, 651]",SHZP.tsv
have to,2,31,"[28, 31, 34, 39, 44, 307, 454, 471, 492, 522]",SHZP.tsv
want to,2,65,"[28, 65, 194, 266, 363, 401, 465, 477]",SHZP.tsv
really don't want to,4,175,"[28, 175]",SHZP.tsv
again,1,258,"[28, 34, 258, 268]",SHZP.tsv
to do,2,102,"[28, 102, 401, 490]",SHZP.tsv
to have,2,604,"[28, 316, 604, 617, 665]",SHZP.tsv
but,1,32,"[7, 32, 34, 55, 60, 65, 69, 83, 85, 93, 106, 120, 124, 125, 129, 133, 151, 157, 176, 192, 194, 208, 216, 226, 239, 258, 266, 270, 291, 307, 333, 337, 345, 401, 418, 440, 467, 471, 475, 502, 506, 508, 545, 560, 564, 570, 629, 646, 648]",SHZP.tsv
that,1,32,"[13, 15, 17, 32, 34, 37, 60, 61, 65, 82, 85, 91, 92, 116, 119, 125, 136, 137, 139, 157, 186, 194, 195, 204, 234, 244, 250, 268, 333, 339, 355, 358, 361, 363, 389, 424, 442, 462, 464, 465, 477, 480, 482, 510, 512, 530, 545, 546, 566, 578, 584, 604, 621, 624, 646, 660, 662]",SHZP.tsv
i think,2,32,"[17, 29, 32, 58, 110, 145, 151, 195, 230, 317, 319, 347, 351, 504, 536, 561, 578, 591, 639, 665, 666]",SHZP.tsv
might,1,32,"[17, 32]",SHZP.tsv
think,1,32,"[17, 23, 29, 32, 58, 110, 122, 145, 151, 195, 230, 317, 319, 336, 345, 347, 351, 461, 471, 504, 536, 561, 578, 591, 639, 665, 666]",SHZP.tsv
look at,2,32,"[23, 32, 41, 239, 244, 256, 258, 604]",SHZP.tsv
at,1,32,"[23, 32, 34, 41, 65, 72, 130, 139, 155, 156, 226, 239, 244, 256, 258, 263, 264, 284, 316, 319, 344, 352, 353, 401, 442, 472, 500, 525, 604, 648]",SHZP.tsv
other,1,61,"[32, 61, 339, 477, 584]",SHZP.tsv
but the,2,93,"[32, 93, 151, 266]",SHZP.tsv
nice,1,71,"[32, 71, 131, 457, 597]",SHZP.tsv
quite,1,106,"[32, 106, 110, 153, 199, 334, 387, 396, 457, 608]",SHZP.tsv
might be,2,239,"[32, 239]",SHZP.tsv
thing,1,57,"[32, 57, 185, 254, 307, 521, 564, 638, 658]",SHZP.tsv
the other,2,454,"[32, 454, 584]",SHZP.tsv
quite nice,2,457,"[32, 457]",SHZP.tsv
be that,2,116,"[32, 116, 578, 624]",SHZP.tsv
when,1,34,"[7, 23, 34, 354, 477, 582, 604]",SHZP.tsv
ago,1,34,"[7, 34, 515]",SHZP.tsv
all the,2,34,"[13, 34, 151, 258, 488, 604, 627]",SHZP.tsv
