Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
like,1,1,"[0, 1, 3, 6, 8, 9, 21, 25, 27, 30, 32, 61, 64, 71, 72, 78, 80, 85, 96, 101, 106, 113, 131, 133, 136, 141, 143, 145, 146, 153, 157, 171, 172, 177, 179, 188, 190, 191, 210, 220, 227, 229, 231, 247, 263, 271, 272, 274, 278, 283, 284, 291, 298, 301, 304, 306, 310, 316, 318, 319, 324, 326, 327, 330, 333, 335, 336, 337, 340, 343, 347, 351, 356, 358, 364, 369, 372, 381, 386, 388, 396, 399, 401, 402, 404, 406, 422, 428, 430, 436, 441, 443, 449, 450, 453, 455, 459, 462, 465, 470, 472, 473, 479, 481, 490, 495, 496, 497, 498, 502, 503, 528, 532, 534, 538, 540, 546, 548, 554, 558, 578, 589, 617, 618, 630, 635, 639, 640, 649, 650, 652, 654, 655, 656, 676, 697, 705, 708, 713, 714, 718, 719, 720, 724, 728, 730, 735, 736, 737, 738, 740, 742, 743, 748, 750, 751, 752, 753, 755, 757, 758, 760, 764, 769, 775, 786, 787, 805, 806, 807, 811, 813, 816, 830, 832, 834, 836, 838]",SNAC.tsv
really,1,1,"[0, 1, 101, 168, 180, 201, 211, 220, 239, 261, 266, 272, 276, 277, 283, 292, 301, 326, 335, 370, 381, 409, 412, 413, 414, 428, 430, 438, 441, 465, 470, 497, 502, 531, 555, 560, 588, 609, 625, 632, 654, 671, 711, 736, 742, 755, 771, 788, 806, 811, 823, 830, 832, 834]",SNAC.tsv
like a,2,71,"[0, 71, 72, 85, 141, 157, 272, 333, 347, 351, 364, 369, 396, 399, 428, 490, 498, 502, 538, 554, 558, 630, 720, 735]",SNAC.tsv
well,1,62,"[0, 62, 71, 75, 113, 169, 349, 358, 388, 399, 426, 449, 520, 620, 671, 705, 760, 786]",SNAC.tsv
in a,2,133,"[0, 133, 213, 235, 371, 480, 540, 736]",SNAC.tsv
different,1,190,"[0, 190, 231, 290, 306, 497, 691, 838]",SNAC.tsv
a different,2,290,"[0, 290, 691, 838]",SNAC.tsv
really it's,2,502,"[0, 502]",SNAC.tsv
but it's,2,271,"[0, 21, 271, 649]",SNAC.tsv
not a,2,832,"[0, 832]",SNAC.tsv
