Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
on the,2,6,"[0, 6, 16, 212, 234, 245, 260, 267, 271, 282, 305, 330, 336, 503, 539, 568, 631, 660, 667, 706, 839]",S4L9.tsv
see,1,17,"[0, 17, 122, 164, 171, 265, 270, 329, 338, 454, 503, 543, 582, 589, 591, 592, 611, 618, 624, 643, 658, 660, 676, 833]",S4L9.tsv
have this,2,186,"[0, 3, 186, 340, 718]",S4L9.tsv
thursday,1,455,"[0, 455]",S4L9.tsv
can you,2,282,"[0, 276, 282, 459, 469, 786]",S4L9.tsv
um,1,6,"[3, 6, 11, 17, 41, 84, 86, 98, 113, 144, 166, 172, 197, 230, 315, 329, 333, 334, 340, 342, 357, 365, 367, 398, 421, 430, 442, 446, 469, 480, 492, 511, 540, 584, 619, 637, 667, 669, 674, 676, 680, 696, 720, 724, 728, 730, 790, 818, 833]",S4L9.tsv
like,1,17,"[3, 17, 30, 41, 42, 65, 86, 93, 98, 102, 114, 116, 122, 124, 127, 130, 138, 139, 144, 152, 154, 169, 171, 186, 189, 199, 229, 234, 239, 251, 252, 253, 280, 288, 293, 300, 302, 305, 314, 323, 324, 325, 326, 329, 333, 338, 340, 342, 343, 356, 360, 371, 377, 379, 381, 382, 383, 387, 390, 391, 396, 398, 411, 421, 425, 426, 427, 428, 431, 435, 445, 446, 451, 458, 469, 474, 476, 478, 480, 484, 486, 488, 494, 503, 511, 515, 524, 532, 536, 554, 576, 582, 588, 595, 602, 605, 608, 619, 624, 625, 629, 631, 645, 651, 653, 655, 657, 660, 669, 674, 676, 678, 680, 682, 683, 684, 686, 688, 692, 694, 696, 703, 706, 710, 711, 716, 718, 720, 722, 724, 726, 736, 738, 741, 745, 750, 762, 766, 774, 778, 804, 806, 818, 835, 839]",S4L9.tsv
little,1,17,"[3, 17, 30, 59, 260, 283, 327, 329, 361, 377, 398, 458, 484, 600, 629, 635, 655, 674, 680, 682, 694, 710]",S4L9.tsv
stuff,1,19,"[3, 19, 30, 37, 65, 152, 186, 210, 227, 237, 267, 325, 329, 357, 427, 431, 442, 476, 484, 486, 619, 657, 674, 684, 696, 704, 710, 724, 774]",S4L9.tsv
be like,2,30,"[3, 30, 130, 169, 239, 305, 329, 333, 340, 356, 425, 427, 474, 669, 678, 710, 722, 750]",S4L9.tsv
little ball,2,30,"[3, 30]",S4L9.tsv
you put,2,36,"[3, 36, 37]",S4L9.tsv
and you,2,39,"[3, 39, 41, 154, 232, 314, 390, 474, 476, 480, 600, 631, 667, 694, 696, 820]",S4L9.tsv
thing,1,39,"[3, 39, 171, 421, 486, 586, 645, 657, 696, 710, 749, 787, 806, 830]",S4L9.tsv
put,1,75,"[3, 37, 75, 259, 382, 409, 633, 790, 794]",S4L9.tsv
they have,2,323,"[3, 102, 176, 323, 329, 689, 710, 718, 720, 722, 723]",S4L9.tsv
there be,2,265,"[3, 265, 329, 438, 446, 469, 557, 600, 660, 724, 806, 818]",S4L9.tsv
he be,2,342,"[3, 111, 305, 342, 431, 432, 442, 443, 447, 669, 682, 686, 696, 750]",S4L9.tsv
about it,2,635,"[3, 635]",S4L9.tsv
he be like,3,305,"[3, 305, 669]",S4L9.tsv
they have this,3,718,"[3, 718]",S4L9.tsv
and then you,3,37,"[5, 37, 63, 381, 694, 813]",S4L9.tsv
it with,2,37,"[5, 37, 285]",S4L9.tsv
fill,1,37,"[5, 37, 323]",S4L9.tsv
and then,2,158,"[5, 37, 61, 63, 98, 109, 122, 158, 162, 201, 210, 293, 305, 323, 329, 340, 381, 383, 469, 476, 478, 496, 543, 556, 560, 619, 631, 667, 680, 682, 692, 694, 696, 710, 736, 740, 768, 778, 794, 813, 815, 824, 830, 837]",S4L9.tsv
then you,2,706,"[5, 63, 286, 381, 706, 813]",S4L9.tsv
go,1,10,"[8, 10, 52, 87, 91, 96, 100, 103, 118, 176, 179, 188, 197, 199, 201, 215, 255, 265, 267, 277, 285, 287, 305, 308, 309, 310, 315, 322, 323, 329, 340, 355, 373, 390, 414, 416, 459, 474, 476, 480, 484, 537, 540, 541, 546, 556, 568, 587, 619, 637, 641, 645, 657, 663, 664, 669, 672, 676, 682, 686, 694, 696, 704, 706, 710, 726, 736, 738, 740, 750, 753, 759, 847]",S4L9.tsv
i'm,1,82,"[10, 78, 82, 127, 136, 202, 204, 208, 267, 268, 285, 303, 338, 340, 496, 510, 523, 546, 572, 575, 578, 582, 587, 605, 619, 631, 637, 682, 683, 692, 704, 706, 710, 750]",S4L9.tsv
i'm go,2,285,"[10, 285, 546, 587, 619, 637, 704, 750]",S4L9.tsv
fry,1,22,"[19, 22]",S4L9.tsv
full,1,311,"[24, 311, 329, 342, 360, 722]",S4L9.tsv
full of,2,342,"[24, 342, 360]",S4L9.tsv
be it,2,34,"[2, 13, 34, 69, 323, 362, 372, 394, 446, 779, 780]",S4L9.tsv
that be,2,285,"[34, 285, 342, 360, 372, 473, 682, 789, 794]",S4L9.tsv
well,1,47,"[17, 47, 78, 87, 100, 111, 115, 116, 136, 179, 194, 200, 201, 217, 288, 323, 355, 357, 398, 412, 414, 427, 443, 474, 480, 494, 511, 515, 543, 544, 547, 601, 608, 619, 627, 660, 696, 787, 807]",S4L9.tsv
walk,1,47,"[45, 46, 47, 329, 438, 530, 603, 663]",S4L9.tsv
i've,1,171,"[47, 171, 210, 212, 214, 227, 237, 241, 253, 261, 285, 296, 298, 299, 301, 303, 338, 367, 369, 424, 474, 482, 543, 554, 572, 582, 597, 605, 633, 669, 678, 688, 726]",S4L9.tsv
mean,1,187,"[47, 127, 187, 283, 296, 805, 813]",S4L9.tsv
walk to,2,329,"[47, 329]",S4L9.tsv
i mean,2,127,"[47, 127, 130, 296, 598, 684, 718, 805, 813]",S4L9.tsv
i don't know,3,49,"[19, 49, 161, 176, 251, 269, 303, 333, 503, 552, 686, 694, 728, 756, 779]",S4L9.tsv
i don't,2,186,"[19, 49, 111, 152, 161, 176, 186, 239, 251, 253, 269, 288, 294, 303, 305, 333, 442, 471, 474, 503, 520, 552, 605, 607, 684, 686, 694, 710, 728, 756, 779]",S4L9.tsv
know,1,199,"[19, 49, 161, 176, 199, 201, 204, 234, 273, 275, 280, 292, 303, 315, 333, 334, 338, 340, 342, 357, 396, 421, 452, 474, 476, 480, 482, 484, 486, 492, 503, 529, 547, 552, 558, 572, 584, 598, 600, 602, 619, 625, 629, 631, 633, 643, 657, 667, 673, 674, 676, 680, 682, 684, 686, 692, 694, 696, 700, 702, 704, 706, 708, 710, 712, 716, 718, 720, 722, 723, 726, 728, 730, 736, 748, 750, 752, 756, 768, 774, 778, 779, 782, 787, 789, 790, 794, 806, 818, 820, 830, 839]",S4L9.tsv
yeah,1,51,"[4, 11, 14, 15, 35, 37, 43, 51, 63, 72, 77, 88, 94, 107, 111, 113, 120, 140, 144, 150, 155, 157, 174, 178, 179, 181, 203, 206, 210, 212, 222, 223, 230, 246, 254, 257, 258, 264, 272, 279, 281, 283, 285, 292, 295, 305, 315, 318, 320, 329, 331, 335, 342, 344, 347, 370, 383, 388, 389, 393, 396, 397, 403, 404, 406, 410, 412, 423, 428, 430, 432, 436, 438, 440, 443, 451, 464, 468, 472, 491, 511, 524, 544, 546, 548, 552, 557, 558, 563, 566, 572, 573, 576, 577, 594, 596, 604, 613, 615, 617, 622, 624, 625, 636, 649, 653, 664, 665, 668, 671, 680, 684, 698, 706, 730, 736, 742, 744, 746, 748, 749, 750, 754, 763, 765, 769, 770, 775, 781, 785, 798, 800, 810, 812, 833, 834, 840, 842, 844, 846]",S4L9.tsv
park,1,69,"[53, 67, 69, 720]",S4L9.tsv
new,1,322,"[55, 57, 322, 448, 486, 488, 572, 676, 732]",S4L9.tsv
a little,2,59,"[17, 59, 327, 329, 361, 377, 398, 458, 629, 635, 655, 674, 680, 682, 694, 710]",S4L9.tsv
have a,2,95,"[59, 94, 95, 113, 128, 280, 329, 350, 360, 371, 383, 430, 439, 457, 458, 530, 581, 590, 598, 603, 610, 612, 629, 674, 688, 692, 696, 706, 735]",S4L9.tsv
what happen,2,694,"[59, 176, 178, 552, 694, 728]",S4L9.tsv
what happen be,3,728,"[59, 728]",S4L9.tsv
