Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
she wouldn't,2,82,"[0, 82]",S7GJ.tsv
two,1,161,"[0, 161, 270, 346, 548, 745, 834, 923, 1085, 1205, 1368, 1418, 1420, 1583, 1672, 1878, 1886, 1888, 2085, 2095, 2140, 2365, 2393, 2480, 2519, 2545, 2800, 2857, 2990, 2992, 2994, 2995, 2996, 3016, 3018, 3073, 3074, 3076, 3116, 3123, 3150, 3260, 3336, 3426, 3487, 3573, 3601, 3859, 3886, 3993, 4227, 4234, 4257]",S7GJ.tsv
and she,2,23,"[0, 23, 507, 548, 622, 668, 1476, 2357, 2861, 2864, 2869, 3477, 3999, 4152, 4158]",S7GJ.tsv
twenty,1,810,"[0, 810, 851, 1108, 1146, 1148, 1150, 1152, 1160, 1498, 1886, 1888, 1891, 1892, 1893, 1895, 1896, 1945, 2269, 2271, 2272, 2277, 2480, 3886, 3887, 3888, 3889, 3891, 3926, 3991, 3992, 4085, 4094, 4099, 4105, 4106, 4330, 4331, 4332]",S7GJ.tsv
two and,2,2990,"[0, 2990, 2992, 2994, 3016, 3018, 3074, 3076, 3116, 3150, 3260]",S7GJ.tsv
way,1,166,"[0, 72, 166, 509, 750, 866, 1039, 1203, 1644, 1808, 1846, 1850, 1960, 1983, 2717, 2869, 2920, 2932, 3027, 3048, 3093, 3103, 3352, 3416, 3509, 3539, 3749, 3942, 3985, 4081, 4097, 4099, 4254, 4287, 4293, 4361]",S7GJ.tsv
hi,1,3260,"[2, 3260, 3952]",S7GJ.tsv
beer,1,9,"[4, 9, 10, 781, 782, 2016, 2017, 2421, 2425, 2426]",S7GJ.tsv
right,1,44,"[4, 44, 70, 115, 252, 254, 256, 258, 266, 319, 321, 323, 324, 326, 368, 375, 379, 449, 451, 495, 505, 540, 643, 833, 1044, 1045, 1054, 1056, 1075, 1116, 1121, 1169, 1321, 1371, 1530, 1593, 1626, 1629, 1683, 1685, 1745, 1847, 1851, 1873, 1877, 1885, 1990, 1993, 2027, 2030, 2096, 2169, 2173, 2175, 2184, 2185, 2538, 2563, 2585, 2728, 2753, 2823, 2920, 2988, 2989, 3246, 3260, 3364, 3415, 3482, 3534, 3556, 3664, 3678, 3686, 3701, 3711, 4138, 4157, 4190, 4262, 4317, 4398, 4454, 4460]",S7GJ.tsv
in the,2,6,"[4, 6, 34, 89, 170, 196, 201, 380, 424, 540, 646, 650, 676, 692, 729, 749, 782, 789, 790, 799, 874, 891, 913, 928, 935, 938, 973, 984, 990, 991, 1153, 1372, 1380, 1390, 1394, 1416, 1427, 1498, 1503, 1604, 1657, 1712, 1726, 1751, 1846, 1933, 1967, 2082, 2307, 2318, 2381, 2431, 2457, 2466, 2516, 2569, 2975, 2984, 2988, 2996, 2998, 3012, 3048, 3078, 3103, 3114, 3155, 3171, 3189, 3230, 3239, 3240, 3300, 3397, 3429, 3438, 3477, 3575, 3581, 3602, 3606, 3625, 3702, 3792, 3985, 4051, 4053, 4161, 4176, 4180, 4184, 4191, 4216, 4219, 4262, 4313, 4414]",S7GJ.tsv
