Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
personal shop,2,1,"[0, 1, 5, 57, 226]",STQF.tsv
this be,2,5,"[0, 5, 13, 21, 117, 118, 160, 264, 277, 278, 281]",STQF.tsv
go,1,5,"[0, 5, 11, 13, 21, 22, 27, 30, 38, 57, 58, 60, 62, 64, 73, 76, 84, 87, 98, 115, 122, 143, 148, 175, 179, 190, 236, 242, 247, 249, 256, 281, 284, 294, 297, 305, 318, 328]",STQF.tsv
experience,1,5,"[0, 5, 21, 57]",STQF.tsv
i think,2,11,"[0, 11, 22, 34, 37, 58, 62, 64, 78, 87, 98, 102, 113, 115, 122, 169, 242, 260, 261, 266, 287, 295, 332]",STQF.tsv
us,1,11,"[0, 11, 60, 233]",STQF.tsv
be go to,3,13,"[0, 13, 21, 22, 60, 76, 143, 148, 249, 284, 305]",STQF.tsv
shop,1,13,"[0, 13, 17, 57, 226, 252]",STQF.tsv
personal,1,15,"[0, 15, 57, 60, 226]",STQF.tsv
think,1,22,"[0, 11, 22, 34, 58, 62, 64, 78, 87, 98, 102, 110, 113, 115, 122, 160, 169, 183, 197, 227, 229, 242, 260, 261, 266, 281, 287, 295, 300, 304, 311, 328, 330, 332]",STQF.tsv
sure,1,34,"[0, 34]",STQF.tsv
you be,2,40,"[0, 40, 151, 227]",STQF.tsv
okay so,2,46,"[0, 46]",STQF.tsv
okay,1,46,"[0, 46, 70]",STQF.tsv
so you,2,54,"[0, 54, 115, 151, 179]",STQF.tsv
that's,1,18,"[0, 18, 27, 30, 56, 64, 90, 102, 146, 197, 229, 233, 280, 284, 286, 289, 308, 319, 327]",STQF.tsv
go to,2,27,"[0, 13, 22, 27, 60, 62, 76, 84, 98, 143, 148, 236, 242, 247, 249, 256, 281, 284, 294, 305, 328]",STQF.tsv
make,1,216,"[0, 214, 216, 218, 240, 289, 306, 316]",STQF.tsv
be i,2,281,"[0, 281]",STQF.tsv
sister in law,3,7,"[6, 7]",STQF.tsv
in law,2,94,"[6, 94]",STQF.tsv
right,1,46,"[8, 10, 46, 86, 95, 97, 101, 268, 300, 323, 331]",STQF.tsv
oh right,2,46,"[10, 46, 101, 268, 300, 323]",STQF.tsv
i haven't,2,16,"[5, 16]",STQF.tsv
no no,2,64,"[16, 64]",STQF.tsv
no i,2,141,"[16, 141, 205, 237, 328, 330]",STQF.tsv
yes,1,51,"[1, 4, 14, 23, 35, 37, 39, 41, 50, 51, 57, 58, 61, 63, 67, 76, 78, 84, 97, 103, 120, 123, 126, 127, 130, 179, 190, 195, 225, 228, 234, 262, 269, 272, 275, 282, 285, 286, 292, 307, 312, 321, 323]",STQF.tsv
yes yes,2,51,"[35, 41, 51, 57, 63, 103, 123, 130, 190, 195, 228, 234, 282, 285, 286, 292, 323]",STQF.tsv
yeah,1,53,"[7, 26, 38, 40, 41, 53, 54, 55, 56, 69, 72, 78, 79, 106, 107, 119, 120, 121, 127, 137, 149, 156, 159, 178, 179, 215, 222, 233, 237, 238, 250, 258, 262, 266, 269, 271, 278, 279, 288, 294, 300, 301, 305, 307, 313, 315, 320, 326, 331, 332]",STQF.tsv
personal shop experience,3,57,"[5, 57]",STQF.tsv
back to,2,57,"[50, 57]",STQF.tsv
go back to,3,73,"[57, 73]",STQF.tsv
back,1,179,"[57, 179, 229, 260]",STQF.tsv
mm mm,2,57,"[43, 57, 144, 167, 207, 238, 255, 317]",STQF.tsv
i just,2,65,"[3, 60, 64, 65, 102, 229, 237]",STQF.tsv
want,1,65,"[3, 13, 22, 62, 65, 73, 102, 110, 229, 281, 289, 316]",STQF.tsv
do you,2,65,"[44, 46, 49, 65, 89, 104, 132, 140, 163, 171, 174, 204, 230, 301, 316]",STQF.tsv
like,1,65,"[52, 62, 64, 65, 78, 82, 98, 104, 122, 124, 171, 185, 240, 304]",STQF.tsv
tea or,2,65,"[60, 65]",STQF.tsv
something,1,65,"[60, 65, 113, 239, 308]",STQF.tsv
you like,2,65,"[62, 65]",STQF.tsv
or something,2,65,"[64, 65]",STQF.tsv
builder's tea,2,66,"[65, 66]",STQF.tsv
can i,2,84,"[65, 84, 92]",STQF.tsv
that be,2,70,"[13, 40, 60, 64, 70, 92, 125, 126, 143, 249, 287, 294]",STQF.tsv
put,1,70,"[64, 70, 92, 112, 237]",STQF.tsv
in that,2,149,"[70, 149, 227, 233]",STQF.tsv
dress,1,72,"[5, 17, 18, 22, 62, 64, 72, 73, 84, 85, 87, 88, 98, 102, 104, 131, 136, 265, 266, 274]",STQF.tsv
so the,2,72,"[11, 72]",STQF.tsv
yeah so,2,72,"[54, 72, 294]",STQF.tsv
so the next dress,4,73,"[72, 73]",STQF.tsv
i be,2,76,"[11, 50, 76, 102, 143, 148, 205, 207, 261, 281, 290, 300, 305]",STQF.tsv
be go to say,4,76,"[13, 76]",STQF.tsv
