Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
save them,2,4,"[0, 4]",SUC7.tsv
i don't know,3,49,"[0, 16, 49, 51, 271]",SUC7.tsv
know,1,10,"[0, 10, 16, 49, 51, 52, 53, 120, 121, 231, 271]",SUC7.tsv
i don't,2,87,"[0, 16, 49, 51, 55, 87, 140, 172, 218, 242, 271]",SUC7.tsv
christmas,1,205,"[0, 2, 5, 205, 214, 272]",SUC7.tsv
like,1,95,"[0, 2, 5, 21, 47, 52, 84, 86, 88, 95, 100, 103, 104, 106, 108, 109, 125, 127, 132, 173, 179, 231, 263, 277, 287, 333, 337]",SUC7.tsv
one,1,2,"[1, 2, 21, 23, 60, 62, 65, 177, 237, 259, 261, 335, 338]",SUC7.tsv
be save them,3,4,"[2, 4]",SUC7.tsv
cos,1,107,"[2, 9, 35, 107, 122, 140, 150, 217, 242, 252, 280]",SUC7.tsv
day,1,195,"[2, 195, 200, 211, 213, 219]",SUC7.tsv
would,1,5,"[4, 5, 21, 303]",SUC7.tsv
yogurt,1,6,"[5, 6, 19, 22, 39, 107, 116, 118, 140, 154, 160, 166, 167, 168, 169, 170, 171, 172, 184]",SUC7.tsv
something,1,51,"[5, 51]",SUC7.tsv
that's,1,60,"[5, 60, 62, 125, 152, 162, 202, 229, 247, 262, 274, 277, 282, 306]",SUC7.tsv
you have,2,320,"[5, 47, 157, 320, 322]",SUC7.tsv
yeah,1,36,"[7, 36, 37, 43, 53, 60, 66, 83, 95, 102, 132, 145, 147, 167, 199, 208, 224, 267, 280, 285, 297, 303, 306, 340]",SUC7.tsv
oh yeah,2,306,"[7, 306]",SUC7.tsv
go,1,10,"[9, 10, 28, 38, 65, 69, 152, 220, 229, 285, 307]",SUC7.tsv
get,1,41,"[9, 27, 41, 44, 56, 57, 58, 106, 135, 206, 208, 250, 263, 280, 281, 282, 283, 306, 336, 337]",SUC7.tsv
oh do,2,135,"[9, 135, 204]",SUC7.tsv
we've get,2,208,"[9, 208]",SUC7.tsv
daddy,1,34,"[16, 34, 35]",SUC7.tsv
know i,2,53,"[16, 53]",SUC7.tsv
ow,1,40,"[25, 40, 308, 311, 313]",SUC7.tsv
eat,1,107,"[29, 107, 116, 126, 160, 179, 191, 219, 231]",SUC7.tsv
finish,1,167,"[29, 126, 154, 157, 166, 167, 173, 174, 184]",SUC7.tsv
we've,1,205,"[9, 29, 205, 208]",SUC7.tsv
