Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
well,1,5,"[2, 5, 14, 17, 30, 57, 63, 92, 95, 113, 126, 186, 188, 207, 212, 237, 242, 261, 271, 322, 357, 369, 374, 393, 406, 412, 413, 423, 425, 432, 434, 437, 470, 471, 474, 492, 495, 513, 521, 542, 604, 605, 607, 616, 623, 637, 669, 679, 683, 686, 691, 693, 704, 707, 730, 766, 767, 774, 775, 776, 785, 789, 799, 800, 821, 850, 862, 865, 873, 877, 890, 908, 912, 917, 918, 939, 950, 967, 981, 1002, 1014, 1037, 1050, 1052, 1060, 1062, 1065, 1076, 1093, 1113, 1155, 1170, 1183, 1206, 1215, 1248, 1299, 1304, 1323, 1327, 1328, 1337, 1342, 1344, 1361, 1374, 1390, 1391, 1414, 1434, 1445, 1457, 1459, 1461, 1463, 1465, 1468, 1506, 1525, 1543, 1550, 1555, 1559, 1565, 1591, 1603, 1618, 1670, 1671, 1692, 1702, 1743, 1746, 1771, 1776, 1807, 1815, 1826, 1827, 1860, 1869, 1889, 1929, 1932, 1934, 1977, 1980, 1985, 1989, 2003, 2015, 2025, 2082, 2120, 2121, 2155, 2212, 2242, 2252, 2258, 2277, 2281, 2307, 2326, 2333, 2336, 2362, 2374, 2376, 2397, 2419, 2426, 2429, 2435]",SRL9.tsv
they're,1,176,"[2, 176, 197, 239, 271, 445, 550, 590, 965, 1159, 1196, 1409, 1676, 1743, 1913, 1915, 2031, 2041, 2057, 2063, 2064, 2107, 2164, 2176, 2186, 2194, 2204, 2224, 2315, 2318]",SRL9.tsv
well they're,2,271,"[2, 271]",SRL9.tsv
go,1,4,"[1, 4, 39, 47, 126, 136, 224, 274, 364, 395, 479, 488, 490, 504, 549, 550, 574, 584, 636, 740, 752, 828, 843, 1227, 1242, 1243, 1244, 1245, 1301, 1342, 1344, 1377, 1381, 1390, 1412, 1445, 1449, 1451, 1473, 1475, 1494, 1514, 1516, 1554, 1584, 1590, 1596, 1648, 1668, 1745, 1810, 1827, 1854, 1899, 1962, 2080, 2120, 2177, 2218, 2251, 2258, 2260, 2283, 2321, 2323, 2325, 2329, 2374, 2397, 2410, 2425, 2431]",SRL9.tsv
want them in,3,4,"[3, 4, 943]",SRL9.tsv
in the,2,5,"[4, 5, 24, 41, 135, 206, 216, 279, 443, 491, 542, 752, 840, 861, 911, 954, 956, 970, 972, 991, 995, 1309, 1392, 1467, 1512, 1527, 1537, 1635, 1676, 1747, 1970, 1978, 1984, 2008, 2088, 2120, 2124, 2127, 2258, 2260, 2397]",SRL9.tsv
it in,2,24,"[4, 24, 100, 542, 1683, 1934, 2233, 2329]",SRL9.tsv
want,1,126,"[3, 4, 126, 190, 230, 245, 247, 254, 428, 499, 550, 688, 785, 928, 929, 934, 943, 968, 1004, 1157, 1234, 1242, 1392, 1667, 1958, 2164, 2172]",SRL9.tsv
suppose,1,176,"[4, 176, 980, 1127, 1579, 1867, 2056]",SRL9.tsv
want them,2,246,"[3, 4, 246, 247, 943]",SRL9.tsv
one,1,41,"[4, 41, 145, 151, 384, 420, 423, 426, 492, 501, 954, 958, 1006, 1072, 1145, 1154, 1168, 1172, 1236, 1259, 1292, 1381, 1392, 1478, 1501, 1512, 1518, 1521, 1612, 1670, 1678, 1679, 1686, 1700, 1701, 1705, 1709, 1724, 1749, 1888, 1890, 1938, 2006, 2172, 2240, 2276, 2291, 2328, 2339, 2343, 2379, 2406, 2407]",SRL9.tsv
them in,2,735,"[4, 735]",SRL9.tsv
we're,1,637,"[4, 637, 690, 749, 952, 1386, 1775, 1778, 1899, 2333]",SRL9.tsv
i want,2,1667,"[4, 1004, 1667]",SRL9.tsv
not the,2,1677,"[4, 1677, 1705]",SRL9.tsv
in one,2,2172,"[4, 2172]",SRL9.tsv
go in,2,2258,"[4, 2258, 2260, 2397, 2431]",SRL9.tsv
jesus,1,6,"[5, 6]",SRL9.tsv
us,1,8,"[7, 8, 519, 1421, 1443, 1653, 1778, 2321]",SRL9.tsv
