Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
say,1,23,"[0, 3, 6, 22, 23, 27, 55, 136, 285, 312]",SQPH.tsv
go to home school,4,3,"[1, 3]",SQPH.tsv
go to,2,27,"[1, 3, 22, 27, 32, 115, 140, 141, 320, 321, 322, 356, 388]",SQPH.tsv
go,1,56,"[1, 3, 22, 27, 32, 56, 62, 73, 113, 115, 140, 141, 205, 210, 285, 309, 318, 320, 321, 322, 327, 330, 356, 358, 386, 388, 393, 399, 402, 414, 450]",SQPH.tsv
do you,2,168,"[3, 61, 97, 135, 141, 168, 205, 207, 221, 266, 268, 281, 326, 335, 386, 454]",SQPH.tsv
gonna,1,190,"[3, 26, 190, 285, 451]",SQPH.tsv
please,1,282,"[3, 282, 285, 287]",SQPH.tsv
that you,2,325,"[3, 318, 325]",SQPH.tsv
you do,2,344,"[3, 344]",SQPH.tsv
's,1,6,"[1, 6, 12, 13, 20, 22, 31, 39, 42, 44, 46, 47, 51, 67, 475]",SQPH.tsv
she be there all week,5,10,"[6, 10]",SQPH.tsv
she be there,3,10,"[6, 10]",SQPH.tsv
cos,1,95,"[6, 36, 95, 100, 103, 117, 142, 182, 237, 260, 285, 292, 297, 305, 356, 383, 386, 454, 455, 461, 471]",SQPH.tsv
hang,1,387,"[6, 329, 387, 399]",SQPH.tsv
week,1,459,"[6, 459]",SQPH.tsv
she be,2,10,"[7, 10, 470]",SQPH.tsv
be homeschooled,2,19,"[7, 19, 22, 24]",SQPH.tsv
be be,2,353,"[7, 353]",SQPH.tsv
so she,2,465,"[7, 465]",SQPH.tsv
school,1,12,"[1, 12, 32]",SQPH.tsv
so 's,2,39,"[12, 39]",SQPH.tsv
be that,2,317,"[14, 317, 420]",SQPH.tsv
right,1,396,"[14, 28, 94, 396, 423, 472]",SQPH.tsv
year,1,39,"[16, 39, 42, 44, 46, 47, 48, 49, 50, 51, 52, 53, 55, 62, 63, 64, 312, 331]",SQPH.tsv
