Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
yeah,1,5,"[0, 5, 8, 10, 20, 28, 31, 57, 59, 64, 80, 83, 84, 104, 105, 107, 114, 116, 118, 122, 123, 124, 132, 142, 143, 144, 152, 167, 168, 173, 194, 195, 207, 212, 215, 219, 220, 230, 235, 271, 274, 277, 310, 313, 315, 317, 319, 323, 342, 345, 354, 366, 368, 372, 385, 387, 394, 408, 419, 425, 431, 442, 453, 495, 497, 506, 508, 528, 534, 537, 547, 562, 564, 566, 568, 587, 613, 615, 616, 630, 638, 656, 658, 679, 683, 690, 692, 697, 703, 716, 718, 723, 745, 753, 757, 764, 767, 774, 795, 798, 802, 803, 821, 822, 832, 836, 859, 875, 881, 882, 925, 942, 955, 962, 970, 973, 981, 990, 997, 1006, 1010, 1012, 1019, 1022, 1025, 1030, 1034, 1038, 1042, 1044, 1046, 1053, 1057, 1064, 1068, 1075, 1078, 1083, 1087, 1091, 1100, 1117, 1118, 1127, 1129, 1131, 1138, 1141, 1154, 1156, 1160, 1165, 1168, 1182, 1201, 1224, 1225, 1238, 1250, 1252, 1253, 1255, 1265, 1274, 1279, 1293, 1298, 1300, 1305, 1326, 1328, 1330, 1332, 1333, 1334, 1339, 1342, 1349, 1351, 1360, 1361, 1371, 1373, 1375, 1383, 1385, 1386, 1387, 1391, 1396, 1400, 1407, 1416, 1417, 1422, 1423, 1439, 1440, 1444, 1447, 1449, 1452, 1454, 1456, 1465, 1472, 1473, 1486, 1490, 1493, 1494, 1496, 1503, 1511, 1514, 1516, 1520, 1524, 1536, 1538, 1541, 1543, 1555, 1556, 1559, 1563, 1564, 1566, 1572, 1573, 1576, 1577, 1581, 1584, 1586, 1593, 1595, 1606, 1612, 1615, 1618, 1620, 1622, 1625, 1629, 1642]",SKRC.tsv
get,1,23,"[0, 23, 45, 81, 98, 126, 148, 158, 160, 166, 171, 172, 190, 230, 240, 242, 301, 305, 332, 343, 344, 347, 371, 376, 378, 380, 396, 397, 408, 427, 432, 436, 476, 484, 488, 490, 512, 537, 538, 546, 548, 567, 569, 586, 592, 594, 604, 619, 689, 693, 725, 739, 741, 745, 749, 776, 788, 804, 812, 816, 854, 856, 859, 871, 897, 939, 988, 1024, 1026, 1028, 1039, 1048, 1050, 1065, 1068, 1069, 1084, 1086, 1092, 1111, 1133, 1137, 1139, 1144, 1152, 1198, 1241, 1246, 1252, 1256, 1259, 1261, 1262, 1265, 1266, 1271, 1311, 1313, 1315, 1323, 1331, 1379, 1409, 1423, 1425, 1478, 1485, 1500, 1515, 1529, 1537, 1543, 1546, 1554, 1557, 1569, 1571, 1583, 1584, 1605, 1641]",SKRC.tsv
i've,1,104,"[0, 104, 108, 172, 201, 205, 222, 224, 332, 400, 472, 484, 487, 488, 496, 594, 625, 646, 655, 743, 783, 797, 802, 1344, 1618, 1620]",SKRC.tsv
yeah so,2,64,"[0, 64, 124, 1064, 1078, 1250, 1417]",SKRC.tsv
get a,2,126,"[0, 126, 347, 512, 538, 586, 689, 804, 816, 897, 1028, 1039, 1111, 1379, 1423, 1485, 1529, 1537, 1543, 1583, 1584, 1605]",SKRC.tsv
i've get,2,172,"[0, 172, 332, 484, 488, 594]",SKRC.tsv
hundred and,2,156,"[2, 16, 156, 781, 782, 783, 785, 1324, 1632, 1634]",SKRC.tsv
pound,1,156,"[2, 16, 156, 176, 308, 355, 507, 689, 749, 754, 922, 1189]",SKRC.tsv
hundred,1,156,"[2, 16, 156, 176, 183, 507, 754, 781, 782, 783, 785, 786, 988, 1141, 1144, 1324, 1632, 1634]",SKRC.tsv
five,1,183,"[2, 39, 183, 308, 773, 775, 782, 1035, 1215, 1218, 1634]",SKRC.tsv
three,1,743,"[2, 693, 743, 749, 813, 1141, 1415, 1487]",SKRC.tsv
in the,2,45,"[6, 45, 126, 172, 234, 240, 283, 299, 300, 374, 556, 628, 636, 664, 752, 844, 879, 883, 969, 986, 1076, 1083, 1280, 1299, 1337, 1373, 1386, 1406, 1420, 1425, 1472, 1491, 1528, 1599, 1621]",SKRC.tsv
the in,2,836,"[6, 836, 969, 1567]",SKRC.tsv
on the,2,474,"[6, 39, 41, 409, 474, 490, 860, 864, 933, 945, 969, 983, 1062, 1086, 1112, 1123, 1159, 1163, 1164, 1166, 1313, 1421, 1426, 1511, 1567, 1601, 1620, 1621, 1624]",SKRC.tsv
on the in the,4,969,"[6, 969]",SKRC.tsv
nice,1,8,"[7, 8, 441, 465, 541, 859, 906, 907, 909, 926, 929, 1011, 1340, 1597]",SKRC.tsv
really,1,17,"[8, 17, 65, 66, 104, 124, 233, 236, 250, 423, 434, 468, 528, 624, 727, 832, 973, 1065, 1203, 1297, 1392, 1565, 1590, 1591, 1644]",SKRC.tsv
new,1,10,"[9, 10, 153, 859, 896, 955, 1373, 1533, 1542, 1548, 1587]",SKRC.tsv
bed,1,14,"[13, 14]",SKRC.tsv
the clothe off,3,15,"[14, 15]",SKRC.tsv
back,1,15,"[14, 15, 70, 87, 218, 253, 438, 464, 490, 496, 509, 578, 581, 582, 583, 585, 672, 752, 787, 798, 806, 812, 846, 897, 930, 933, 939, 945, 1083, 1086, 1112, 1156, 1220, 1304, 1358, 1403, 1542]",SKRC.tsv
well you,2,25,"[14, 25, 41, 212, 214, 333, 656, 672, 1098, 1373, 1427, 1565]",SKRC.tsv
as well,2,100,"[14, 100, 112, 137, 208, 376, 648, 689, 1617]",SKRC.tsv
want,1,112,"[14, 112, 114, 177, 259, 260, 261, 338, 345, 356, 363, 365, 393, 418, 449, 488, 500, 503, 522, 524, 527, 615, 713, 719, 788, 791, 798, 799, 800, 838, 840, 841, 847, 849, 900, 902, 924, 1057, 1254, 1513, 1519, 1535, 1601]",SKRC.tsv
well,1,158,"[14, 16, 25, 35, 39, 41, 81, 100, 105, 112, 135, 137, 140, 158, 162, 170, 172, 191, 201, 208, 212, 214, 238, 250, 253, 291, 333, 336, 337, 344, 376, 401, 432, 436, 451, 462, 464, 472, 474, 496, 500, 516, 520, 528, 533, 547, 583, 584, 598, 622, 647, 648, 651, 656, 672, 676, 677, 689, 698, 709, 715, 725, 726, 731, 735, 743, 758, 772, 778, 790, 799, 803, 812, 818, 833, 847, 859, 903, 905, 915, 916, 917, 922, 932, 935, 936, 938, 941, 943, 957, 967, 975, 976, 978, 983, 986, 991, 996, 1001, 1021, 1048, 1055, 1058, 1069, 1084, 1094, 1095, 1096, 1098, 1113, 1120, 1123, 1124, 1126, 1134, 1172, 1177, 1180, 1191, 1202, 1203, 1208, 1217, 1219, 1229, 1261, 1264, 1266, 1286, 1290, 1295, 1308, 1338, 1342, 1373, 1407, 1417, 1420, 1427, 1437, 1439, 1449, 1455, 1473, 1483, 1485, 1489, 1507, 1521, 1526, 1531, 1532, 1537, 1546, 1565, 1573, 1583, 1587, 1594, 1617, 1624, 1625]",SKRC.tsv
you want,2,356,"[14, 259, 260, 261, 356, 393, 418, 449, 488, 527, 615, 788, 791, 798, 800, 900, 924, 1057, 1601]",SKRC.tsv
off my,2,379,"[14, 379]",SKRC.tsv
you're not,2,384,"[14, 384, 548, 559, 1065, 1624]",SKRC.tsv
