Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
dad,1,87,"[2, 14, 32, 87, 88, 89, 91, 114, 127, 128, 129, 130, 160, 185, 252, 359, 426, 685]",SAAB.tsv
thank,1,310,"[2, 6, 310, 375, 395]",SAAB.tsv
i think,2,160,"[18, 129, 160, 179, 183, 216, 219, 222, 252, 265, 273, 287, 290, 293, 303, 338, 369, 379, 384, 451, 544, 554, 569, 579, 683, 685, 691, 693, 721, 732]",SAAB.tsv
i think the,3,287,"[18, 287, 721]",SAAB.tsv
go,1,20,"[7, 12, 20, 22, 23, 25, 26, 27, 36, 38, 79, 175, 183, 196, 200, 202, 287, 296, 312, 315, 317, 326, 361, 364, 369, 371, 400, 402, 409, 416, 455, 488, 505, 526, 557, 571, 572, 582, 592, 608, 612, 613, 632, 634, 641, 654, 670, 672, 673, 675, 678, 695, 706, 725, 756]",SAAB.tsv
have to,2,20,"[16, 20, 317, 336, 341, 391, 418, 425, 462, 464, 470, 479, 505, 510, 518, 520, 540, 650, 652, 658, 661]",SAAB.tsv
exercise,1,21,"[20, 21]",SAAB.tsv
to go,2,654,"[20, 654, 675]",SAAB.tsv
go to,2,22,"[7, 12, 22, 23, 25, 26, 27, 175, 183, 196, 287, 296, 312, 317, 361, 364, 402, 416, 571, 572, 592, 608, 612, 613, 632, 641, 670, 673, 675]",SAAB.tsv
go to the,3,26,"[22, 23, 25, 26, 27, 402]",SAAB.tsv
to the,2,440,"[23, 25, 26, 27, 402, 440, 567, 645, 719, 724, 751, 756]",SAAB.tsv
have a,2,25,"[12, 25, 61, 71, 157, 171, 175, 193, 303, 309, 320, 364, 371, 384, 480, 502, 614, 660, 672, 678, 731, 778]",SAAB.tsv
go to the squash club,5,27,"[26, 27]",SAAB.tsv
club,1,526,"[26, 27, 526, 530, 765, 766]",SAAB.tsv
it dad,2,130,"[32, 130]",SAAB.tsv
make,1,183,"[32, 183, 200, 219, 221, 287, 361, 519, 678, 691]",SAAB.tsv
do it,2,114,"[32, 97, 114, 449, 495, 503, 509, 517, 540, 562, 567, 580, 652, 658, 755]",SAAB.tsv
that's,1,46,"[35, 46, 50, 91, 102, 103, 124, 179, 194, 222, 232, 233, 248, 262, 265, 267, 282, 311, 326, 330, 337, 338, 340, 357, 361, 367, 426, 430, 443, 444, 485, 488, 496, 504, 509, 515, 531, 535, 552, 560, 573, 574, 644, 661, 678, 680, 709, 754, 760, 775]",SAAB.tsv
that's true,2,267,"[35, 267, 760]",SAAB.tsv
get,1,39,"[7, 11, 39, 83, 90, 160, 192, 237, 283, 293, 320, 322, 356, 402, 403, 420, 425, 435, 455, 477, 495, 505, 507, 508, 558, 560, 571, 582, 654, 676, 678, 711, 713, 730, 734, 762]",SAAB.tsv
on thursday night,3,39,"[26, 39]",SAAB.tsv
yeah,1,39,"[34, 39, 41, 54, 83, 132, 138, 140, 157, 170, 176, 182, 184, 222, 223, 229, 233, 237, 245, 248, 250, 255, 261, 264, 265, 268, 270, 278, 282, 290, 291, 292, 295, 307, 311, 331, 363, 389, 391, 398, 417, 419, 432, 450, 456, 463, 487, 500, 502, 510, 526, 529, 558, 559, 570, 572, 573, 592, 597, 621, 661, 662, 678, 727, 729, 730, 732, 741, 760, 770, 773, 779]",SAAB.tsv
's,1,215,"[39, 215, 246, 260, 507, 670, 676]",SAAB.tsv
get a,2,90,"[39, 90, 237, 283, 293, 558, 560, 734]",SAAB.tsv
thursday,1,38,"[26, 38, 39, 383, 605, 606, 607, 611, 629]",SAAB.tsv
can't,1,110,"[43, 110, 157, 258, 405, 418, 532, 562, 656, 657, 713, 714]",SAAB.tsv
