Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
well,1,21,"[0, 16, 21, 23, 49, 58, 64, 69, 72, 74, 78, 89, 90, 91, 92, 98, 111, 117, 139, 177, 185, 236, 243, 273, 297, 387, 395, 404, 407, 409, 419, 438, 457, 470, 494, 506, 528, 542, 556, 562, 641, 677, 678, 712, 770, 900, 914, 945, 993, 1058, 1071, 1073, 1092, 1110, 1128, 1136, 1156, 1164, 1170, 1173, 1175, 1186, 1187, 1272, 1340, 1361, 1368, 1462, 1494, 1505, 1533, 1605, 1606, 1620, 1675, 1693, 1709, 1731, 1733, 1734, 1740, 1752, 1767, 1771, 1775, 1783, 1785, 1788, 1827, 1847, 1856, 1857, 1900, 1932, 1942, 1970, 1988, 1990, 2018, 2041, 2057, 2063, 2073, 2091, 2126, 2142, 2228, 2244, 2284, 2293, 2381, 2398, 2402, 2404, 2426, 2441, 2452, 2455, 2545, 2547, 2568, 2660, 2673, 2794, 2831, 2846, 2869, 2924, 2940, 2952, 2988, 3031, 3043, 3060, 3063, 3065, 3069, 3093, 3102, 3108, 3114, 3134, 3148, 3241, 3300, 3311, 3325, 3347, 3447, 3475, 3484, 3507, 3538, 3564, 3574, 3602, 3611, 3612, 3641, 3730, 3766, 3779, 3781, 3802, 3842, 3869, 3886, 3889]",S64H.tsv
do you,2,29,"[0, 2, 4, 8, 20, 29, 268, 269, 333, 343, 347, 350, 357, 465, 466, 613, 747, 756, 789, 1006, 1097, 1115, 1156, 1331, 1354, 1474, 1484, 1769, 1892, 1895, 1897, 1963, 2024, 2029, 2031, 2035, 2073, 2186, 2211, 2313, 2378, 2395, 2402, 2420, 2740, 2968, 3025, 3064, 3153, 3177, 3260, 3276, 3341, 3395, 3473, 3487, 3564, 3842, 3848, 3882]",S64H.tsv
have a,2,47,"[0, 47, 364, 380, 415, 476, 504, 521, 542, 579, 632, 638, 796, 824, 865, 1073, 1077, 1079, 1196, 1204, 1250, 1279, 1287, 1347, 1445, 1505, 1560, 1608, 1616, 1657, 1729, 1781, 1864, 1888, 1911, 1928, 1930, 1986, 1988, 2016, 2140, 2287, 2317, 2375, 2398, 2402, 2436, 2438, 2486, 2683, 2703, 2934, 3025, 3029, 3123, 3148, 3190, 3204, 3211, 3241, 3302, 3327, 3367, 3421, 3704, 3707, 3746, 3808]",S64H.tsv
what do,2,143,"[0, 20, 143, 163, 268, 363, 2073, 2420, 2558]",S64H.tsv
right,1,143,"[0, 4, 26, 124, 143, 156, 191, 260, 267, 323, 353, 372, 394, 404, 448, 453, 466, 468, 504, 510, 569, 701, 793, 866, 907, 944, 990, 1007, 1035, 1059, 1143, 1144, 1191, 1334, 1351, 1365, 1373, 1387, 1393, 1395, 1415, 1515, 1553, 1583, 1603, 1633, 1658, 1732, 1904, 1908, 1910, 1911, 1935, 1971, 1985, 1987, 2066, 2071, 2073, 2087, 2192, 2259, 2269, 2271, 2283, 2401, 2446, 2504, 2525, 2531, 2683, 2774, 2775, 2897, 2962, 3046, 3086, 3141, 3152, 3284, 3286, 3476, 3565, 3623, 3789, 3791, 3799, 3811, 3813, 3829, 3874, 3880, 3889]",S64H.tsv
look,1,194,"[0, 26, 194, 264, 326, 337, 338, 364, 399, 407, 409, 468, 502, 664, 674, 895, 1089, 1120, 1149, 1220, 1222, 1250, 1256, 1269, 1314, 1365, 1445, 1468, 1472, 1474, 1505, 1524, 1529, 1709, 1729, 1738, 1744, 1771, 1788, 1911, 2132, 2328, 2429, 2440, 2583, 2645, 2746, 2807, 2809, 2835, 2859, 2863, 2865, 2867, 2879, 3069, 3073, 3263, 3327, 3362, 3367, 3692, 3732, 3734, 3746, 3784, 3818, 3854, 3855]",S64H.tsv
what do you,3,268,"[0, 20, 268, 2073, 2420]",S64H.tsv
a look,2,326,"[0, 326, 364, 1445, 3855]",S64H.tsv
let's,1,440,"[0, 440, 457, 990, 2730, 2775, 2777, 3483, 3582, 3821]",S64H.tsv
have a look,3,1250,"[0, 364, 1250, 1445, 1505, 1911]",S64H.tsv
do what,2,1305,"[0, 1097, 1141, 1305, 2073, 2208, 2738]",S64H.tsv
well what,2,1733,"[0, 1733]",S64H.tsv
virtually anything,2,2,"[1, 2]",S64H.tsv
like,1,23,"[2, 20, 23, 25, 54, 78, 90, 156, 179, 181, 194, 209, 215, 242, 243, 252, 286, 289, 332, 343, 366, 372, 374, 378, 380, 395, 404, 409, 415, 432, 436, 438, 440, 457, 458, 464, 466, 502, 504, 507, 509, 515, 521, 523, 526, 538, 550, 581, 591, 593, 598, 605, 613, 615, 628, 643, 646, 657, 669, 678, 680, 761, 764, 796, 798, 813, 817, 828, 835, 849, 856, 871, 882, 930, 1014, 1038, 1081, 1089, 1093, 1104, 1139, 1156, 1164, 1189, 1214, 1219, 1230, 1234, 1259, 1271, 1276, 1328, 1342, 1344, 1363, 1365, 1368, 1372, 1410, 1426, 1430, 1440, 1494, 1496, 1500, 1524, 1528, 1529, 1545, 1547, 1558, 1560, 1574, 1578, 1596, 1626, 1642, 1650, 1694, 1696, 1715, 1734, 1771, 1794, 1802, 1811, 1813, 1821, 1874, 1877, 1894, 1906, 1915, 1940, 1944, 1946, 1978, 2027, 2033, 2071, 2073, 2081, 2093, 2099, 2106, 2130, 2132, 2153, 2208, 2228, 2233, 2236, 2242, 2248, 2249, 2252, 2267, 2273, 2278, 2293, 2304, 2311, 2317, 2367, 2373, 2375, 2400, 2402, 2429, 2434, 2440, 2442, 2443, 2446, 2468, 2551, 2558, 2565, 2566, 2568, 2574, 2601, 2606, 2614, 2629, 2649, 2660, 2662, 2668, 2703, 2724, 2738, 2742, 2748, 2779, 2863, 2989, 2990, 2992, 3014, 3042, 3069, 3195, 3216, 3415, 3438, 3439, 3519, 3522, 3569, 3694, 3716, 3732, 3750, 3760, 3792, 3806, 3818]",S64H.tsv
