Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
the word,2,21,"[0, 21]",SXAZ.tsv
people,1,23,"[0, 7, 11, 23, 34, 176, 181, 201, 204, 225, 281, 684, 687, 691, 720, 740, 742, 746, 749, 1135, 1332]",SXAZ.tsv
use,1,130,"[0, 11, 15, 37, 130, 345, 347, 352, 354, 364, 405, 428, 477, 479, 699, 709, 770, 774, 776, 872, 999, 1063, 1065, 1339, 1341]",SXAZ.tsv
you know,2,4,"[3, 4, 7, 34, 37, 39, 42, 61, 64, 66, 68, 70, 77, 97, 101, 108, 113, 147, 152, 165, 176, 185, 195, 202, 207, 210, 215, 220, 225, 230, 250, 274, 283, 288, 331, 336, 348, 384, 411, 415, 423, 432, 434, 438, 446, 452, 456, 476, 485, 506, 508, 516, 518, 524, 525, 567, 608, 615, 634, 636, 638, 652, 656, 674, 677, 681, 687, 693, 695, 705, 709, 711, 712, 718, 720, 746, 757, 762, 776, 783, 785, 815, 820, 828, 832, 834, 848, 890, 891, 900, 914, 916, 946, 957, 972, 979, 1043, 1074, 1090, 1092, 1108, 1118, 1130, 1141, 1155, 1159, 1161, 1167, 1177, 1179, 1201, 1204, 1205, 1217, 1219, 1225, 1227, 1228, 1230, 1236, 1238, 1240, 1246, 1248, 1250, 1251, 1263, 1267, 1275, 1279, 1287, 1289, 1296, 1298, 1302, 1304, 1306, 1314, 1316]",SXAZ.tsv
say,1,34,"[3, 7, 13, 34, 42, 46, 50, 61, 64, 68, 101, 116, 147, 152, 159, 168, 187, 191, 225, 248, 268, 590, 603, 691, 699, 705, 709, 731, 742, 746, 755, 810, 816, 840, 865, 874, 876, 890, 929, 1151, 1157, 1186, 1203, 1294, 1300, 1323]",SXAZ.tsv
one,1,34,"[3, 13, 34, 46, 48, 114, 126, 139, 165, 177, 239, 278, 288, 290, 430, 460, 481, 486, 497, 613, 636, 638, 689, 695, 703, 770, 771, 840, 844, 867, 886, 950, 1035, 1072, 1098, 1099]",SXAZ.tsv
go,1,36,"[3, 36, 50, 61, 70, 71, 87, 132, 210, 351, 398, 399, 407, 436, 440, 483, 490, 508, 538, 539, 546, 733, 744, 808, 810, 834, 848, 861, 891, 901, 1041, 1062, 1104, 1179, 1181, 1188, 1209, 1223, 1227, 1277, 1281, 1283, 1294, 1352]",SXAZ.tsv
know,1,102,"[3, 4, 7, 34, 37, 39, 42, 61, 64, 66, 68, 70, 77, 97, 101, 102, 108, 113, 116, 147, 152, 165, 176, 181, 185, 190, 195, 202, 204, 207, 210, 215, 220, 225, 230, 250, 274, 283, 288, 312, 331, 336, 348, 368, 384, 392, 408, 411, 415, 423, 432, 434, 438, 446, 452, 456, 460, 476, 485, 506, 508, 516, 518, 524, 525, 526, 527, 565, 567, 573, 585, 604, 608, 615, 619, 634, 636, 638, 643, 649, 652, 656, 674, 677, 681, 682, 687, 689, 693, 695, 705, 709, 711, 712, 718, 720, 731, 743, 746, 757, 762, 776, 783, 785, 815, 820, 828, 832, 833, 834, 848, 864, 872, 890, 891, 900, 914, 916, 928, 946, 957, 972, 979, 1017, 1022, 1025, 1034, 1043, 1049, 1074, 1081, 1090, 1092, 1108, 1118, 1130, 1141, 1155, 1159, 1161, 1167, 1177, 1179, 1201, 1204, 1205, 1217, 1219, 1225, 1227, 1228, 1230, 1236, 1238, 1240, 1246, 1248, 1250, 1251, 1263, 1267, 1275, 1279, 1287, 1289, 1293, 1296, 1298, 1302, 1304, 1306, 1314, 1316]",SXAZ.tsv
like,1,34,"[5, 34, 39, 48, 50, 55, 66, 70, 71, 152, 170, 191, 195, 202, 207, 248, 295, 341, 357, 379, 411, 434, 462, 494, 565, 591, 603, 650, 652, 654, 677, 691, 695, 712, 746, 758, 793, 802, 809, 832, 834, 840, 846, 848, 856, 867, 871, 894, 929, 974, 985, 1039, 1061, 1077, 1090, 1092, 1100, 1134, 1135, 1194, 1225, 1234, 1238, 1253, 1263, 1271, 1277, 1279, 1302, 1314, 1315, 1317]",SXAZ.tsv
yeah,1,7,"[1, 2, 6, 7, 8, 16, 18, 19, 22, 23, 26, 28, 30, 33, 35, 41, 43, 49, 53, 59, 62, 63, 65, 69, 70, 71, 75, 76, 82, 83, 84, 86, 87, 90, 92, 94, 96, 98, 103, 105, 107, 120, 126, 129, 136, 138, 146, 147, 148, 153, 154, 157, 159, 165, 166, 167, 171, 174, 178, 182, 186, 188, 191, 192, 194, 198, 200, 203, 205, 209, 214, 218, 219, 221, 225, 227, 229, 231, 233, 241, 242, 246, 247, 251, 253, 255, 257, 259, 261, 262, 264, 275, 277, 279, 285, 287, 290, 291, 296, 298, 302, 304, 306, 313, 323, 330, 340, 342, 344, 346, 349, 350, 353, 360, 372, 380, 388, 389, 392, 401, 404, 406, 410, 415, 416, 418, 420, 422, 427, 433, 435, 437, 439, 445, 447, 451, 454, 455, 457, 459, 460, 463, 467, 468, 470, 481, 482, 484, 487, 489, 491, 495, 497, 498, 500, 502, 503, 505, 507, 509, 510, 511, 513, 515, 519, 521, 523, 525, 526, 528, 530, 532, 533, 537, 542, 544, 545, 548, 551, 553, 562, 564, 566, 568, 571, 573, 578, 584, 586, 588, 592, 593, 595, 596, 598, 604, 606, 607, 611, 612, 614, 617, 621, 622, 623, 624, 626, 628, 629, 631, 633, 637, 639, 643, 645, 647, 648, 654, 669, 671, 678, 682, 685, 686, 688, 690, 692, 694, 698, 700, 702, 704, 708, 710, 713, 715, 717, 719, 721, 736, 737, 741, 743, 745, 747, 759, 760, 761, 763, 764, 765, 767, 780, 781, 782, 784, 788, 790, 803, 804, 806, 809, 817, 825, 827, 829, 833, 835, 837, 839, 841, 843, 849, 852, 853, 859, 860, 863, 864, 865, 872, 873, 876, 878, 882, 885, 887, 889, 891, 895, 899, 901, 902, 904, 905, 907, 909, 911, 915, 917, 918, 919, 920, 921, 926, 928, 930, 931, 932, 934, 936, 938, 940, 943, 945, 947, 951, 955, 956, 959, 962, 968, 970, 978, 980, 981, 983, 984, 989, 990, 994, 995, 998, 1000, 1001, 1003, 1004, 1006, 1010, 1011, 1016, 1018, 1021, 1023, 1025, 1026, 1028, 1030, 1032, 1034, 1040, 1042, 1044, 1045, 1047, 1052, 1054, 1056, 1058, 1060, 1062, 1064, 1065, 1066, 1068, 1069, 1071, 1076, 1078, 1081, 1082, 1085, 1087, 1089, 1091, 1093, 1098, 1101, 1105, 1106, 1107, 1109, 1111, 1113, 1117, 1119, 1121, 1122, 1124, 1127, 1132, 1133, 1135, 1138, 1140, 1143, 1144, 1146, 1148, 1156, 1158, 1160, 1163, 1167, 1168, 1170, 1173, 1174, 1176, 1178, 1180, 1182, 1189, 1195, 1199, 1200, 1202, 1203, 1205, 1206, 1208, 1215, 1216, 1218, 1220, 1222, 1226, 1229, 1231, 1233, 1237, 1238, 1239, 1241, 1243, 1247, 1249, 1250, 1251, 1252, 1254, 1256, 1261, 1262, 1263, 1265, 1266, 1268, 1272, 1276, 1277, 1278, 1279, 1280, 1282, 1284, 1286, 1288, 1297, 1299, 1301, 1303, 1305, 1307, 1309, 1315, 1316, 1317, 1318, 1322, 1324, 1326, 1333, 1335, 1336, 1338, 1339, 1341, 1347, 1349, 1352, 1354]",SXAZ.tsv
