Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
say,1,17,"[0, 6, 17, 44, 66, 72, 83, 86, 94, 97, 102, 167, 169, 181, 185, 192, 196, 260]",SYA7.tsv
what do,2,66,"[0, 6, 66, 102, 318, 343]",SYA7.tsv
she say,2,167,"[0, 102, 167, 169]",SYA7.tsv
yesterday,1,3,"[2, 3]",SYA7.tsv
yeah,1,4,"[3, 4, 10, 13, 15, 18, 20, 34, 37, 40, 41, 42, 46, 47, 50, 57, 66, 68, 70, 76, 82, 83, 84, 87, 88, 89, 94, 101, 116, 121, 124, 132, 135, 137, 141, 143, 145, 152, 155, 157, 166, 168, 169, 179, 181, 200, 201, 204, 206, 209, 217, 219, 222, 224, 231, 233, 235, 237, 239, 241, 242, 243, 245, 259, 263, 265, 268, 278, 280, 286, 288, 320, 331, 340]",SYA7.tsv
do it,2,154,"[6, 43, 154, 158]",SYA7.tsv
stodgy crumpets,2,9,"[7, 9, 16, 75]",SYA7.tsv
stodgy,1,12,"[9, 12, 15, 16]",SYA7.tsv
crumpets,1,25,"[9, 16, 25, 35, 36, 43, 44, 48, 51, 60, 61, 62, 75, 80]",SYA7.tsv
what's,1,106,"[9, 104, 106, 108, 115, 120, 140, 158, 181, 188, 275, 295, 303, 334]",SYA7.tsv
stodgy crumpet,2,14,"[12, 14]",SYA7.tsv
the stodgy,2,15,"[14, 15]",SYA7.tsv
crumpet,1,17,"[14, 17, 187, 247]",SYA7.tsv
yeah yeah,2,47,"[18, 47, 88, 94, 137, 141, 143, 145, 166, 206, 241]",SYA7.tsv
hate it,2,22,"[19, 22]",SYA7.tsv
hate,1,62,"[22, 62]",SYA7.tsv
peach and,2,28,"[27, 28, 30]",SYA7.tsv
peach,1,30,"[28, 30]",SYA7.tsv
my crumpets,2,44,"[43, 44, 48, 51]",SYA7.tsv
long,1,53,"[43, 53, 66, 178]",SYA7.tsv
yeah i,2,206,"[46, 206, 286]",SYA7.tsv
it's so,2,185,"[52, 185, 189]",SYA7.tsv
open,1,66,"[59, 66]",SYA7.tsv
like,1,63,"[3, 5, 7, 8, 17, 21, 23, 24, 25, 35, 36, 38, 44, 47, 48, 53, 54, 60, 62, 63, 64, 66, 72, 73, 75, 83, 84, 85, 86, 87, 88, 92, 93, 94, 95, 97, 98, 99, 101, 103, 107, 109, 122, 123, 125, 127, 129, 136, 138, 140, 142, 144, 148, 156, 158, 160, 161, 173, 181, 185, 187, 191, 192, 193, 197, 205, 206, 208, 210, 212, 215, 218, 219, 220, 221, 223, 226, 230, 234, 240, 251, 260, 269, 270, 285, 293, 337]",SYA7.tsv
people,1,63,"[17, 36, 63, 83, 85, 108, 144, 197, 213, 214, 226, 230, 260, 281]",SYA7.tsv
go,1,66,"[63, 66, 72, 85, 97, 99, 169, 181, 185, 258, 260, 269, 275, 300, 338]",SYA7.tsv
like that,2,142,"[63, 142, 210, 230, 240]",SYA7.tsv
to go,2,338,"[63, 260, 338]",SYA7.tsv
oh my god,3,65,"[5, 65, 122, 211]",SYA7.tsv
god,1,65,"[64, 65, 122, 211]",SYA7.tsv
well,1,69,"[1, 25, 53, 66, 68, 69, 70, 75, 83, 101, 116, 181, 215, 236, 259, 260, 263, 272, 274, 298, 299, 300]",SYA7.tsv
anyway so,2,69,"[35, 66, 69]",SYA7.tsv
thing,1,69,"[35, 69, 83, 159, 185, 269, 274]",SYA7.tsv
we're,1,69,"[53, 69, 95, 97, 98, 169]",SYA7.tsv
close,1,87,"[69, 87, 218]",SYA7.tsv
anyway,1,144,"[69, 144, 218, 260]",SYA7.tsv
away,1,67,"[7, 67, 71, 184]",SYA7.tsv
stay away,2,71,"[8, 67, 68, 71, 72, 181, 184]",SYA7.tsv
hashtag,1,80,"[8, 68, 72, 80, 181, 250]",SYA7.tsv
be like,2,93,"[5, 21, 23, 24, 25, 35, 36, 38, 47, 48, 53, 62, 64, 66, 72, 75, 85, 86, 88, 92, 93, 94, 95, 97, 122, 140, 144, 156, 158, 160, 181, 206, 220, 226, 234, 260, 285]",SYA7.tsv
i'm,1,93,"[25, 48, 56, 72, 86, 87, 93, 94, 181, 185, 197, 198, 263]",SYA7.tsv
be er,2,93,"[27, 93]",SYA7.tsv
i hear,2,93,"[72, 93, 269]",SYA7.tsv
hear,1,93,"[72, 93, 269]",SYA7.tsv
i'm not,2,93,"[86, 87, 93, 94]",SYA7.tsv
actually,1,93,"[87, 93, 125, 134, 251, 260, 298]",SYA7.tsv
you be,2,315,"[93, 315, 316, 321, 322]",SYA7.tsv
nothing,1,125,"[102, 125, 140]",SYA7.tsv
what be,2,162,"[104, 162, 238, 270, 307, 319, 321]",SYA7.tsv
be her name,3,173,"[104, 173]",SYA7.tsv
her name,2,173,"[104, 173]",SYA7.tsv
get,1,110,"[7, 56, 60, 72, 75, 90, 92, 97, 98, 99, 105, 107, 109, 110, 113, 127, 156, 164, 175, 182, 196, 211, 258, 260, 267, 269, 273, 289, 330]",SYA7.tsv
