Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
bite,1,128,"[0, 57, 61, 128, 129, 201, 212, 250, 254, 270, 309, 341]",S3SU.tsv
a bite,2,57,"[0, 57, 61, 129, 201, 212, 250, 254, 270, 309]",S3SU.tsv
well,1,20,"[2, 8, 20, 59, 61, 76, 113, 135, 137, 143, 160, 178, 184, 217, 223, 237, 242, 262, 266, 270, 296, 304, 360, 372, 386, 387, 388, 394]",S3SU.tsv
one,1,24,"[4, 15, 23, 24, 25, 26, 28, 34, 57, 153, 182, 339, 371, 384]",S3SU.tsv
go,1,24,"[8, 24, 28, 57, 59, 61, 86, 104, 147, 154, 159, 203, 207, 221, 227, 228, 231, 238, 244, 273, 276, 300, 323, 326, 333, 347, 366, 386, 387, 398]",S3SU.tsv
if you,2,187,"[8, 118, 187, 328, 381]",S3SU.tsv
get,1,10,"[7, 10, 16, 20, 22, 28, 77, 83, 87, 91, 92, 104, 107, 109, 110, 116, 117, 118, 137, 160, 166, 167, 174, 178, 187, 194, 200, 216, 218, 246, 260, 266, 268, 302, 326, 328, 348, 387]",S3SU.tsv
egg,1,14,"[10, 14, 19, 20, 22, 23, 24, 25, 28, 32]",S3SU.tsv
alright,1,144,"[17, 54, 144, 282]",S3SU.tsv
one egg,2,25,"[23, 25, 28]",S3SU.tsv
that's,1,39,"[27, 39, 109, 110, 114, 166, 175, 196, 226, 233, 235, 241, 242, 243, 280, 294, 296, 297, 304, 377, 388]",S3SU.tsv
i think,2,57,"[31, 57, 59, 61, 65, 74, 96, 141, 154, 160, 223, 235, 236, 243, 353, 357, 363, 375, 401]",S3SU.tsv
find,1,33,"[25, 33, 116, 274, 294, 335]",S3SU.tsv
enough,1,33,"[25, 33, 34, 148, 325]",S3SU.tsv
nice,1,63,"[44, 63, 73, 130, 151, 169, 180, 183, 228, 381]",S3SU.tsv
make,1,50,"[48, 50, 95, 104, 353, 360, 381]",S3SU.tsv
sit,1,56,"[48, 49, 56, 321]",S3SU.tsv
i'll,1,88,"[56, 88, 227, 328, 386, 400]",S3SU.tsv
oh don't,2,381,"[56, 381]",S3SU.tsv
be it,2,63,"[58, 63, 81, 150, 172, 181]",S3SU.tsv
right,1,60,"[7, 60, 104, 163, 401]",S3SU.tsv
they're,1,62,"[61, 62, 110, 223, 228, 268, 353, 374, 375]",S3SU.tsv
five,1,70,"[57, 61, 69, 70, 144, 154, 350]",S3SU.tsv
lovely,1,71,"[14, 71, 72, 149, 169, 171, 179]",S3SU.tsv
really,1,73,"[53, 55, 73, 105, 130, 151, 174, 175, 178, 180, 182, 184, 233, 234, 254, 264, 273, 274, 305, 310, 314, 318, 381, 383]",S3SU.tsv
big,1,84,"[73, 84]",S3SU.tsv
you know,2,203,"[73, 77, 176, 203, 238, 240, 244, 246, 255]",S3SU.tsv
i'd,1,73,"[20, 73, 76, 78, 80, 226, 336, 368, 370]",S3SU.tsv
i i,2,402,"[73, 116, 137, 255, 257, 294, 402]",S3SU.tsv
know,1,73,"[61, 73, 77, 87, 90, 99, 107, 109, 141, 143, 153, 158, 176, 203, 236, 238, 240, 244, 246, 255, 274, 302, 305, 338, 357, 379, 402]",S3SU.tsv
twenty,1,154,"[75, 154, 188, 189]",S3SU.tsv
yeah,1,77,"[1, 5, 21, 30, 34, 40, 49, 51, 53, 57, 64, 77, 79, 82, 83, 88, 101, 104, 117, 124, 126, 132, 166, 168, 173, 177, 178, 182, 186, 192, 202, 205, 225, 229, 233, 235, 237, 239, 242, 243, 246, 255, 281, 282, 283, 294, 305, 311, 315, 319, 331, 334, 337, 338, 340, 341, 343, 348, 349, 355, 361, 362, 366, 367, 387, 390, 396, 400]",S3SU.tsv
you can,2,381,"[77, 176, 381]",S3SU.tsv
get a,2,87,"[7, 87, 91, 92, 109, 166]",S3SU.tsv
i don't,2,87,"[61, 87, 90, 99, 104, 110, 117, 118, 136, 141, 143, 196, 234, 238, 255, 290, 291, 294, 302, 305, 336, 356, 379, 402]",S3SU.tsv
i don't know,3,99,"[87, 99, 141, 143, 302, 379, 402]",S3SU.tsv
much,1,187,"[89, 187, 226, 370]",S3SU.tsv
door,1,110,"[91, 92, 110, 111]",S3SU.tsv
isn't it,2,152,"[91, 152, 179, 205, 233, 298]",S3SU.tsv
it's get,2,194,"[92, 194]",S3SU.tsv
of it,2,92,"[74, 92, 200, 226, 353, 385]",S3SU.tsv
be she,2,312,"[94, 261, 310, 312, 314]",S3SU.tsv
lot,1,96,"[61, 96, 196, 250, 356]",S3SU.tsv
love,1,108,"[14, 39, 108, 148, 174, 197]",S3SU.tsv
i find,2,116,"[25, 116, 294]",S3SU.tsv
in the,2,126,"[116, 126, 131, 141, 153, 160, 164, 178, 200, 244, 372, 378]",S3SU.tsv
like,1,116,"[14, 63, 70, 74, 90, 107, 110, 116, 117, 118, 142, 160, 162, 196, 198, 200, 238, 266, 276, 292, 294, 307, 371, 384]",S3SU.tsv
it's quite,2,363,"[116, 363]",S3SU.tsv
no i,2,118,"[78, 118, 123, 175, 291, 294, 385]",S3SU.tsv
i don't like,3,118,"[90, 110, 117, 118, 196, 294]",S3SU.tsv
want,1,120,"[20, 28, 36, 40, 42, 104, 120, 123, 124, 146, 226, 336, 381, 384, 385]",S3SU.tsv
yeah i,2,124,"[117, 124, 331, 338, 366, 367]",S3SU.tsv
dinner,1,386,"[124, 386, 400]",S3SU.tsv
hm,1,127,"[3, 127, 301, 358]",S3SU.tsv
chuck,1,129,"[126, 129]",S3SU.tsv
in the bin,3,131,"[126, 131, 141]",S3SU.tsv
do you,2,133,"[20, 28, 36, 40, 42, 133, 154, 159, 226, 231, 318, 324, 339]",S3SU.tsv
shop,1,154,"[135, 154, 326]",S3SU.tsv
use,1,203,"[137, 203, 207, 286, 294]",S3SU.tsv
gonna,1,137,"[57, 61, 137, 160, 178, 209, 264, 269, 353]",S3SU.tsv
go to,2,147,"[24, 28, 57, 59, 147, 154, 207, 244, 273, 323, 326, 333, 387]",S3SU.tsv
i'm,1,147,"[57, 147, 243, 244, 285, 335, 380, 381, 383]",S3SU.tsv
something,1,153,"[70, 109, 153, 203, 238, 240]",S3SU.tsv
this morning,2,153,"[14, 153, 367]",S3SU.tsv
you go,2,159,"[86, 159, 231, 326]",S3SU.tsv
you and,2,326,"[172, 326]",S3SU.tsv
money,1,353,"[174, 353]",S3SU.tsv
sort of,2,201,"[178, 201, 296, 298, 347, 372]",S3SU.tsv
well i,2,178,"[143, 178, 217, 223]",S3SU.tsv
say,1,178,"[18, 20, 28, 59, 61, 105, 154, 169, 178, 226, 231, 233, 244, 245, 270, 276, 277, 285, 295, 303, 304, 323]",S3SU.tsv
and it,2,299,"[162, 169, 178, 266, 299]",S3SU.tsv
have it,2,178,"[107, 178, 347, 381]",S3SU.tsv
half,1,187,"[178, 182, 187, 191, 227, 381]",S3SU.tsv
it and,2,233,"[178, 233, 386]",S3SU.tsv
twenty percent,2,189,"[188, 189]",S3SU.tsv
still,1,192,"[191, 192, 268, 310]",S3SU.tsv
it's a,2,212,"[160, 205, 212, 246]",S3SU.tsv
i can,2,218,"[175, 218]",S3SU.tsv
ring him,2,218,"[217, 218]",S3SU.tsv
he's,1,218,"[104, 217, 218]",S3SU.tsv
it's not,2,223,"[82, 84, 196, 223, 224, 235, 289, 381, 393]",S3SU.tsv
holiday,1,228,"[203, 207, 228, 238]",S3SU.tsv
for a,2,228,"[207, 228]",S3SU.tsv
