Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
okay,1,184,"[2, 7, 55, 90, 131, 184]",SFC2.tsv
eat meat,2,9,"[5, 9, 139, 144]",SFC2.tsv
really like,2,10,"[9, 10, 116]",SFC2.tsv
fish,1,10,"[9, 10, 14, 88]",SFC2.tsv
like,1,9,"[8, 9, 10, 12, 15, 20, 24, 26, 44, 58, 63, 64, 85, 86, 97, 100, 116, 136, 139, 146, 147, 150, 155, 159, 161, 165, 166, 172, 175, 179]",SFC2.tsv
a vegetarian,2,9,"[6, 9, 12, 34, 176]",SFC2.tsv
meat,1,6,"[5, 6, 8, 9, 12, 18, 34, 57, 86, 102, 139, 144]",SFC2.tsv
really,1,14,"[9, 10, 14, 46, 64, 86, 95, 116, 156]",SFC2.tsv
eat,1,6,"[5, 6, 9, 32, 34, 35, 64, 86, 89, 99, 106, 120, 139, 144, 156]",SFC2.tsv
that's a,2,58,"[9, 58, 176]",SFC2.tsv
someone,1,58,"[9, 58]",SFC2.tsv
cos,1,9,"[6, 9, 23, 29, 57, 58, 102, 104]",SFC2.tsv
that's,1,64,"[9, 58, 64, 95, 100, 140, 146, 161, 166, 167, 176]",SFC2.tsv
go,1,26,"[9, 26, 28, 74, 188]",SFC2.tsv
know,1,22,"[9, 22, 24, 28, 29, 47, 63, 67, 77, 86, 108, 109, 119, 122, 139, 144, 147, 170, 172]",SFC2.tsv
i've,1,137,"[9, 137, 138]",SFC2.tsv
as well,2,11,"[6, 11, 63, 64, 146]",SFC2.tsv
even,1,86,"[11, 86, 178, 186]",SFC2.tsv
well,1,11,"[6, 11, 15, 63, 64, 100, 111, 116, 120, 132, 146, 147]",SFC2.tsv
would,1,16,"[6, 15, 16, 18, 25, 33, 35, 47, 85, 89, 108, 116, 131, 133, 134, 136, 139, 147, 155, 164, 165]",SFC2.tsv
though,1,186,"[16, 57, 147, 186]",SFC2.tsv
they're,1,21,"[14, 21, 54, 87]",SFC2.tsv
gonna,1,21,"[14, 21, 63, 125, 139]",SFC2.tsv
