Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
come,1,138,"[0, 87, 138, 222, 256, 296, 318, 402, 454, 481, 492, 566, 587, 588]",SP84.tsv
talk,1,342,"[0, 16, 324, 342, 383, 452, 502]",SP84.tsv
but i,2,126,"[0, 22, 87, 126, 146, 395, 396, 553, 564, 634]",SP84.tsv
live,1,511,"[0, 402, 511, 686]",SP84.tsv
say,1,288,"[2, 24, 36, 67, 102, 111, 140, 178, 181, 183, 186, 188, 189, 201, 206, 240, 256, 288, 324, 335, 338, 340, 341, 371, 383, 395, 401, 402, 403, 407, 438, 454, 495, 510, 523, 526, 530, 544, 548, 635, 664, 669, 693]",SP84.tsv
in a,2,386,"[2, 32, 149, 235, 324, 386, 397, 402, 523, 630, 665]",SP84.tsv
i'm,1,82,"[4, 9, 82, 140, 225, 234, 268, 296, 318, 376, 402, 403, 405, 407, 417, 582, 612, 644, 646, 668]",SP84.tsv
cos,1,288,"[4, 66, 184, 225, 238, 288, 318, 330, 564, 616]",SP84.tsv
yeah,1,19,"[7, 19, 35, 49, 54, 55, 62, 68, 70, 71, 76, 78, 80, 84, 90, 101, 103, 109, 112, 116, 117, 121, 123, 127, 128, 137, 143, 145, 150, 153, 164, 173, 182, 196, 198, 200, 201, 207, 214, 217, 218, 233, 234, 242, 252, 260, 261, 263, 266, 272, 274, 276, 279, 294, 295, 299, 301, 302, 308, 312, 315, 316, 317, 319, 321, 322, 325, 332, 343, 356, 359, 360, 362, 365, 366, 368, 375, 381, 383, 384, 387, 390, 391, 393, 394, 400, 409, 411, 416, 420, 423, 425, 428, 431, 441, 447, 450, 453, 456, 458, 459, 467, 469, 471, 475, 476, 478, 480, 484, 493, 500, 501, 505, 506, 512, 517, 519, 520, 521, 522, 524, 528, 531, 532, 533, 543, 551, 556, 558, 569, 587, 593, 594, 607, 615, 620, 633, 640, 650, 654, 658, 660, 670, 677, 679, 685, 688, 689, 691, 694, 698, 700]",SP84.tsv
that's,1,41,"[7, 41, 43, 44, 60, 92, 93, 113, 114, 124, 135, 151, 165, 174, 178, 186, 194, 212, 227, 233, 249, 264, 283, 313, 318, 341, 352, 356, 358, 366, 380, 383, 404, 406, 410, 411, 430, 438, 492, 495, 508, 516, 519, 529, 542, 544, 551, 571, 587, 603, 605, 623, 638, 642, 643, 646, 674, 687, 696]",SP84.tsv
to do it,3,139,"[7, 139, 234]",SP84.tsv
have to,2,226,"[7, 61, 97, 104, 218, 226, 235, 316, 323, 661, 699]",SP84.tsv
really,1,82,"[7, 20, 82, 138, 142, 178, 234, 237, 259, 275, 318, 384, 399, 406, 535, 586, 596, 669]",SP84.tsv
do it,2,126,"[7, 126, 139, 210, 234, 271, 674]",SP84.tsv
really that's,2,406,"[7, 406]",SP84.tsv
it the,2,511,"[7, 28, 511]",SP84.tsv
it and,2,623,"[7, 132, 146, 210, 580, 623]",SP84.tsv
yes,1,98,"[9, 14, 40, 52, 98, 99, 195, 235, 238, 261, 269, 284, 300, 431, 651, 665, 667]",SP84.tsv
it be,2,211,"[9, 93, 132, 144, 189, 201, 210, 211, 234, 269, 323, 384, 388, 401, 425, 432, 438, 440, 474, 523, 527, 537, 551, 553, 559, 573, 628, 630, 642, 653, 698]",SP84.tsv
so be,2,621,"[11, 621]",SP84.tsv
the the,2,45,"[14, 45, 59, 82, 132, 343, 425, 429, 457, 474, 537, 564, 611, 621, 635, 657, 695]",SP84.tsv
see,1,27,"[14, 16, 22, 27, 45, 57, 69, 77, 132, 206, 374, 376, 380, 386, 449, 510, 566, 568, 575, 580, 611, 618]",SP84.tsv
go,1,139,"[14, 16, 24, 36, 38, 67, 118, 139, 140, 163, 180, 181, 187, 189, 218, 220, 225, 234, 324, 457, 477, 481, 510, 514, 523, 566, 615, 663, 693, 699, 701]",SP84.tsv
go to,2,234,"[14, 16, 36, 67, 181, 225, 234, 324, 510, 514, 523, 699]",SP84.tsv
we're,1,163,"[14, 163, 216, 218, 265, 269, 278, 600, 690, 693, 699]",SP84.tsv
