Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
do you,2,1,"[0, 72]",[1],SWUT.tsv,S0202,S0208
a lot when,3,3,[0],[3],SWUT.tsv,S0202,S0208
not here,2,3,[0],[3],SWUT.tsv,S0202,S0208
reckon,1,3,[0],"[3, 41, 57]",SWUT.tsv,S0202,S0208
dad,1,3,"[0, 138]","[3, 85, 89, 107, 113, 139, 143]",SWUT.tsv,S0202,S0208
miss,1,3,[0],[3],SWUT.tsv,S0202,S0208
mum,1,3,[0],[3],SWUT.tsv,S0202,S0208
get it,2,2,[2],"[1, 191]",SWUT.tsv,S0202,S0208
alright,1,11,"[2, 10]","[11, 171, 179]",SWUT.tsv,S0202,S0208
get,1,17,"[2, 16, 26, 34, 44, 46, 72, 98, 152, 160, 174, 178, 180]","[17, 27, 29, 37, 41, 55, 59, 75, 85, 89, 93, 105, 107, 113, 125, 127, 129, 133, 141, 149, 155, 171, 173, 87, 135, 191]",SWUT.tsv,S0202,S0208
i have,2,19,"[2, 4, 48]","[19, 33, 89, 95, 97, 103, 129, 171]",SWUT.tsv,S0202,S0208
think,1,53,[2],"[53, 181]",SWUT.tsv,S0202,S0208
i can,2,61,[2],"[61, 87, 93, 119, 135]",SWUT.tsv,S0202,S0208
i think,2,75,[2],"[75, 89, 107]",SWUT.tsv,S0202,S0208
i can get it,4,87,[2],[87],SWUT.tsv,S0202,S0208
i can get,3,135,[2],[135],SWUT.tsv,S0202,S0208
worst,1,171,[2],[171],SWUT.tsv,S0202,S0208
have a,2,95,[4],"[95, 135]",SWUT.tsv,S0202,S0208
i have a,3,129,[4],[129],SWUT.tsv,S0202,S0208
i know,2,6,[6],"[3, 31, 35, 39, 89, 141, 143, 145, 185]",SWUT.tsv,S0202,S0208
know,1,41,[6],"[41, 79, 173]",SWUT.tsv,S0202,S0208
be alright,2,11,[10],"[11, 179]",SWUT.tsv,S0202,S0208
yeah,1,12,"[12, 18, 22, 24, 28, 30, 34, 38, 40, 56, 58, 60, 62, 64, 68, 70, 78, 82, 86, 88, 90, 104, 106, 108, 116, 118, 120, 128, 130, 142, 144, 148, 150, 156, 162, 164, 170, 172, 176, 182]","[3, 17, 45, 75, 101, 125, 135, 139, 157, 161, 165, 167, 175, 181, 183, 195]",SWUT.tsv,S0202,S0208
i might,2,95,[14],"[95, 173]",SWUT.tsv,S0202,S0208
might have,2,127,[14],[127],SWUT.tsv,S0202,S0208
one,1,17,"[16, 48, 112, 124, 130]","[17, 75, 89, 103, 123]",SWUT.tsv,S0202,S0208
time,1,23,[16],"[23, 43, 55, 57, 63, 149]",SWUT.tsv,S0202,S0208
i'm,1,27,"[16, 34, 48, 52]","[27, 37, 39, 41, 51, 61, 69, 79, 81, 85, 87, 89, 95, 107, 113, 121, 127, 129, 135, 155, 171, 181]",SWUT.tsv,S0202,S0208
cos,1,31,"[16, 48, 52]","[31, 39, 75, 89, 93, 105, 117, 129, 143, 157, 173, 183, 41, 87, 127]",SWUT.tsv,S0202,S0208
stuff,1,33,"[16, 34]","[33, 41, 55, 61, 71, 85, 127]",SWUT.tsv,S0202,S0208
cos i'm,2,41,[16],"[41, 87, 127]",SWUT.tsv,S0202,S0208
that side,2,77,[16],[77],SWUT.tsv,S0202,S0208
in that,2,79,[16],"[79, 145]",SWUT.tsv,S0202,S0208
get in there,3,27,[26],[27],SWUT.tsv,S0202,S0208
yeah i,2,34,[34],"[3, 75, 183]",SWUT.tsv,S0202,S0208
look forward to,3,34,[34],[27],SWUT.tsv,S0202,S0208
