Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
that's,1,129,"[0, 16, 18, 22, 86, 176, 186, 204, 286, 299, 311, 327, 341, 369, 433, 463]","[129, 201, 251, 261, 281, 322, 378, 393, 440]",SH79.tsv,S0058,S0179
we be,2,141,"[0, 28, 301]","[141, 221]",SH79.tsv,S0058,S0179
yes,1,39,"[2, 94, 286, 327]","[39, 59, 61, 77, 91, 183, 225, 293, 314, 370, 432, 456, 101]",SH79.tsv,S0058,S0179
yes but,2,101,[2],[101],SH79.tsv,S0058,S0179
true,1,131,"[2, 4, 46, 76, 196, 389]",[131],SH79.tsv,S0058,S0179
would,1,67,"[8, 44, 46, 66, 154, 206, 212, 252, 390]","[67, 185, 215, 318, 326, 356, 175, 460]",SH79.tsv,S0058,S0179
would be,2,175,"[8, 206, 252]","[175, 460]",SH79.tsv,S0058,S0179
little bite,2,241,"[8, 238, 288, 333, 390, 392, 433, 441, 449]",[241],SH79.tsv,S0058,S0179
bite,1,243,"[8, 238, 288, 315, 333, 390, 392, 433, 441, 447, 449]","[243, 322, 326, 460, 308, 324, 336]",SH79.tsv,S0058,S0179
a little bite,3,308,"[8, 238, 288, 333, 390, 392, 433, 441, 449]","[308, 324, 336]",SH79.tsv,S0058,S0179
two stories,2,10,[10],[9],SH79.tsv,S0058,S0179
yeah,1,31,"[10, 18, 26, 32, 34, 40, 42, 44, 48, 58, 68, 78, 82, 96, 98, 102, 104, 118, 120, 122, 124, 132, 136, 138, 140, 142, 150, 160, 162, 168, 176, 178, 188, 198, 204, 206, 214, 216, 222, 234, 236, 248, 254, 256, 258, 260, 262, 264, 266, 268, 272, 274, 276, 282, 284, 297, 301, 303, 309, 311, 313, 317, 319, 321, 325, 329, 331, 353, 361, 379, 392, 405, 409, 411, 417, 419, 421, 423, 427, 429, 433, 447, 461, 463]","[31, 51, 63, 71, 81, 83, 95, 99, 101, 127, 129, 131, 141, 143, 161, 169, 171, 173, 195, 229, 241, 245, 251, 265, 316, 320, 328, 338, 346, 348, 350, 362, 388, 391, 401, 446, 448]",SH79.tsv,S0058,S0179
two,1,57,"[10, 162, 166, 339, 343, 349, 351]","[57, 137]",SH79.tsv,S0058,S0179
it's get,2,15,[14],"[15, 334]",SH79.tsv,S0058,S0179
get,1,15,"[14, 20, 30, 92, 122, 130, 132, 142, 158, 162, 170, 172, 218, 244, 262, 276, 286, 343, 449]","[15, 21, 23, 121, 133, 137, 141, 153, 155, 209, 213, 215, 233, 279, 283, 287, 324, 326, 374, 388, 434, 440, 454, 456, 460, 334]",SH79.tsv,S0058,S0179
an interest,2,61,[14],[61],SH79.tsv,S0058,S0179
interest,1,73,"[14, 16, 64, 206, 270, 272, 278, 385]","[73, 185, 364, 366]",SH79.tsv,S0058,S0179
the erm,2,181,"[14, 210, 367]",[181],SH79.tsv,S0058,S0179
much,1,61,"[18, 20, 74, 116, 164, 212, 218, 274, 343]","[61, 67, 165, 197, 267, 308]",SH79.tsv,S0058,S0179
yeah that's,2,129,"[18, 176]",[129],SH79.tsv,S0058,S0179
better,1,155,"[18, 20, 22, 174]","[155, 233, 316]",SH79.tsv,S0058,S0179
at the,2,20,"[20, 248, 347, 349, 367]","[7, 426, 15, 384]",SH79.tsv,S0058,S0179
back,1,20,"[20, 248, 264, 431, 449]","[11, 318, 15, 384]",SH79.tsv,S0058,S0179
windows at the back,4,20,[20],[15],SH79.tsv,S0058,S0179
get a,2,20,"[20, 122, 162]","[15, 133, 456, 21, 23]",SH79.tsv,S0058,S0179
you get a garage,4,21,[20],[21],SH79.tsv,S0058,S0179
windows,1,21,[20],[21],SH79.tsv,S0058,S0179
you get a,3,23,[20],[23],SH79.tsv,S0058,S0179
and the,2,23,"[20, 264, 272]","[23, 25]",SH79.tsv,S0058,S0179
that be,2,31,"[20, 112, 196, 333]","[31, 177, 231, 300, 334]",SH79.tsv,S0058,S0179
you get,2,279,[20],[279],SH79.tsv,S0058,S0179
garage,1,374,[20],"[374, 397]",SH79.tsv,S0058,S0179
at the back,3,384,[20],[384],SH79.tsv,S0058,S0179
what be,2,275,"[24, 266, 268]","[275, 391]",SH79.tsv,S0058,S0179
the other,2,312,"[24, 96, 272]","[312, 422]",SH79.tsv,S0058,S0179
be the,2,316,"[24, 112, 244]",[316],SH79.tsv,S0058,S0179
oh yeah,2,101,"[26, 168, 409]","[101, 127, 131]",SH79.tsv,S0058,S0179
if we,2,77,[28],"[77, 374, 454]",SH79.tsv,S0058,S0179
buy,1,101,"[28, 38, 128, 130, 132]",[101],SH79.tsv,S0058,S0179
if we be,3,141,[28],[141],SH79.tsv,S0058,S0179
away from,2,30,"[30, 441]",[29],SH79.tsv,S0058,S0179
be worth,2,105,[30],[105],SH79.tsv,S0058,S0179
get out,2,434,[30],[434],SH79.tsv,S0058,S0179
one,1,36,"[36, 44, 48, 56, 144, 172, 174, 250, 266, 272, 392, 415, 423, 433, 439]","[15, 17, 137, 296, 322, 374, 397, 408, 452, 456]",SH79.tsv,S0058,S0179
nice,1,127,"[36, 44, 104, 176, 190, 238, 299, 377]","[127, 300]",SH79.tsv,S0058,S0179
think,1,38,"[38, 46, 86, 90, 92, 122, 124, 150, 156, 158, 166, 210, 252, 262, 278, 379, 423, 447]","[13, 31, 73, 89, 185, 247, 261, 296, 316, 338, 399, 434, 454]",SH79.tsv,S0058,S0179
do you,2,279,"[38, 92, 100, 156, 252, 365, 439, 441, 447]","[279, 424]",SH79.tsv,S0058,S0179
i should,2,434,[38],[434],SH79.tsv,S0058,S0179
it be,2,57,"[40, 56, 104, 112, 176, 182, 218, 268, 270, 307, 363]","[57, 103, 185, 302]",SH79.tsv,S0058,S0179
it'll be,2,304,"[40, 68]",[304],SH79.tsv,S0058,S0179
you know,2,44,"[44, 74, 100, 104, 126, 156, 158, 162, 176, 218, 230, 266, 270, 343, 345, 349, 421, 441, 459]","[7, 426]",SH79.tsv,S0058,S0179
well,1,44,"[44, 50, 68, 96, 98, 154, 156, 162, 166, 176, 186, 200, 208, 212, 224, 230, 244, 250, 258, 264, 268, 270, 272, 280, 282, 307, 357, 394, 396, 435, 463]","[15, 69, 85, 89, 91, 121, 129, 137, 139, 141, 155, 159, 185, 191, 201, 209, 211, 215, 251, 312, 334, 352, 356, 378, 397, 422, 462, 49]",SH79.tsv,S0058,S0179
and you,2,44,"[44, 90, 345]",[21],SH79.tsv,S0058,S0179
but you,2,44,"[44, 421]",[23],SH79.tsv,S0058,S0179
i be,2,44,"[44, 122, 124, 150, 154, 166, 186, 190, 224, 230, 367, 371, 411]","[31, 181, 201]",SH79.tsv,S0058,S0179
well we,2,49,[44],[49],SH79.tsv,S0058,S0179
know,1,49,"[44, 74, 100, 104, 126, 136, 156, 158, 162, 176, 212, 218, 230, 238, 248, 266, 270, 343, 345, 349, 387, 398, 421, 441, 443, 459]","[49, 426]",SH79.tsv,S0058,S0179
which be,2,57,"[44, 104, 162, 206, 216, 270, 272, 278]","[57, 133, 135, 283]",SH79.tsv,S0058,S0179
ring,1,79,"[44, 224]",[79],SH79.tsv,S0058,S0179
give,1,79,"[44, 46, 96, 224]","[79, 163, 223]",SH79.tsv,S0058,S0179
have a,2,85,"[44, 56, 66, 86, 156, 301, 331]","[85, 87, 296]",SH79.tsv,S0058,S0179
say,1,107,"[44, 162, 174, 176, 186, 190, 216, 266, 365, 371, 383, 411]","[107, 111, 141, 201, 275, 322, 366]",SH79.tsv,S0058,S0179
can do,2,159,"[44, 154]","[159, 436, 460]",SH79.tsv,S0058,S0179
be an,2,177,[44],[177],SH79.tsv,S0058,S0179
bank,1,289,[44],[289],SH79.tsv,S0058,S0179
a nice,2,300,"[44, 104]",[300],SH79.tsv,S0058,S0179
we would,2,318,[44],[318],SH79.tsv,S0058,S0179
in all fairness,3,354,"[44, 166]",[354],SH79.tsv,S0058,S0179
i do,2,397,"[44, 176, 278]",[397],SH79.tsv,S0058,S0179
be there,2,410,"[44, 60, 166, 407, 453]",[410],SH79.tsv,S0058,S0179
try,1,420,"[44, 144, 377, 392, 415, 447]",[420],SH79.tsv,S0058,S0179
just have,2,440,"[44, 301]",[440],SH79.tsv,S0058,S0179
if you,2,46,[46],"[11, 191, 460]",SH79.tsv,S0058,S0179
go in and,3,46,[46],[13],SH79.tsv,S0058,S0179
i think,2,46,"[46, 86, 90, 166, 210, 278, 423, 447]","[13, 73, 247, 296, 316, 454]",SH79.tsv,S0058,S0179
erm and,2,46,"[46, 162]",[21],SH79.tsv,S0058,S0179
go,1,46,"[46, 72, 96, 120, 144, 158, 162, 210, 248, 256, 266, 313, 347, 349, 351, 439]","[31, 79, 141, 179, 197, 203, 205, 209, 221, 257, 259, 265, 283, 289, 291, 296, 324, 336, 360, 408, 412, 422, 428, 397]",SH79.tsv,S0058,S0179
and i,2,181,"[46, 162, 278]","[181, 247]",SH79.tsv,S0058,S0179
can't,1,235,"[46, 52, 280, 295, 423]","[235, 263, 336, 393]",SH79.tsv,S0058,S0179
and i think,3,247,[46],[247],SH79.tsv,S0058,S0179
there be,2,312,"[46, 56, 60, 166, 210, 339]","[312, 316, 364, 366]",SH79.tsv,S0058,S0179
i think it's,3,316,"[46, 166]",[316],SH79.tsv,S0058,S0179
kind of,2,374,"[46, 74, 90, 238, 242, 284, 347]",[374],SH79.tsv,S0058,S0179
go in,2,397,[46],[397],SH79.tsv,S0058,S0179
quite,1,48,"[48, 70, 190, 272]","[17, 103, 175, 332]",SH79.tsv,S0058,S0179
mean,1,57,"[48, 50, 60, 152, 154, 156, 158, 301, 327, 392, 396, 433, 439, 441, 445]","[57, 356, 424]",SH79.tsv,S0058,S0179
cos,1,79,"[48, 56, 90, 132, 136, 301, 343, 387, 433, 459]","[79, 87, 101, 181, 247, 255, 289, 434, 107, 310, 334]",SH79.tsv,S0058,S0179
first,1,79,[48],"[79, 289]",SH79.tsv,S0058,S0179
cos it's,2,107,[48],"[107, 310, 334]",SH79.tsv,S0058,S0179
not quite,2,332,[48],[332],SH79.tsv,S0058,S0179
i mean,2,356,"[48, 50, 60, 152, 154, 156, 158, 301, 327, 392, 439, 441, 449]","[356, 424]",SH79.tsv,S0058,S0179
thing,1,364,"[48, 96, 166, 228, 238, 347, 367]","[364, 366, 410]",SH79.tsv,S0058,S0179
probably,1,374,"[48, 417, 447]","[374, 434, 440, 444]",SH79.tsv,S0058,S0179
have to,2,215,"[50, 74, 162, 208]","[215, 328]",SH79.tsv,S0058,S0179
break,1,181,"[52, 60]","[181, 185]",SH79.tsv,S0058,S0179
never,1,54,"[54, 176, 244, 260, 390, 461]","[3, 55]",SH79.tsv,S0058,S0179
stories,1,56,[56],[9],SH79.tsv,S0058,S0179
one be,2,56,"[56, 266, 272]","[17, 137]",SH79.tsv,S0058,S0179
be a,2,57,"[56, 132, 174, 210, 216, 218, 238, 315, 333, 449]","[57, 133, 203, 231, 300, 326, 332, 334, 364, 366, 410]",SH79.tsv,S0058,S0179
particularly,1,75,"[56, 64, 74, 156]","[75, 209]",SH79.tsv,S0058,S0179
like a,2,79,"[56, 433]",[79],SH79.tsv,S0058,S0179
like,1,79,"[56, 66, 102, 104, 114, 154, 164, 190, 242, 244, 260, 270, 272, 301, 351, 390, 433]","[79, 123, 165, 191, 298]",SH79.tsv,S0058,S0179
sort,1,153,"[56, 82, 230, 266, 343]",[153],SH79.tsv,S0058,S0179
bad,1,163,[56],"[163, 209]",SH79.tsv,S0058,S0179
erm cos,2,181,[56],[181],SH79.tsv,S0058,S0179
it have,2,185,[56],[185],SH79.tsv,S0058,S0179
cos it,2,247,[56],[247],SH79.tsv,S0058,S0179
sort of,2,318,"[56, 82, 230, 266, 343]",[318],SH79.tsv,S0058,S0179
there be a,3,364,"[56, 210]","[364, 366]",SH79.tsv,S0058,S0179
possibly,1,73,"[60, 295, 443]",[73],SH79.tsv,S0058,S0179
which i,2,199,"[60, 122, 190]",[199],SH79.tsv,S0058,S0179
you mean,2,62,"[62, 445]",[57],SH79.tsv,S0058,S0179
i assume,2,62,"[62, 400]",[61],SH79.tsv,S0058,S0179
look,1,64,"[64, 70, 96, 238, 272, 278, 280, 359, 367]","[11, 13, 97, 117, 231]",SH79.tsv,S0058,S0179
something,1,75,"[64, 104, 144, 146, 268, 270]",[75],SH79.tsv,S0058,S0179
ever,1,77,[64],"[77, 185, 269]",SH79.tsv,S0058,S0179
i've,1,93,"[64, 142, 176, 260]","[93, 133, 137, 294, 456]",SH79.tsv,S0058,S0179
ask,1,185,"[64, 160, 162]",[185],SH79.tsv,S0058,S0179
you have,2,66,[66],[21],SH79.tsv,S0058,S0179
a hard,2,66,[66],[57],SH79.tsv,S0058,S0179
hard,1,66,"[66, 238, 421, 439]",[61],SH79.tsv,S0058,S0179
it must be,3,66,[66],[65],SH79.tsv,S0058,S0179
would you,2,185,[66],[185],SH79.tsv,S0058,S0179
i'm,1,68,"[68, 90, 144, 154, 162, 214, 238, 272, 295, 343, 351, 433]","[61, 65, 209, 261, 287, 304, 308, 336, 416, 420, 434, 442, 328]",SH79.tsv,S0058,S0179
sure,1,68,"[68, 90, 154, 214, 295, 353]","[61, 65, 209, 442]",SH79.tsv,S0058,S0179
yeah i'm,2,328,"[68, 162]",[328],SH79.tsv,S0058,S0179
be fine,2,356,"[68, 140]",[356],SH79.tsv,S0058,S0179
we should,2,72,[72],"[13, 255]",SH79.tsv,S0058,S0179
walk,1,73,"[72, 74, 218, 459]","[73, 247]",SH79.tsv,S0058,S0179
for a,2,145,"[72, 176, 333]",[145],SH79.tsv,S0058,S0179
should do,2,205,[72],"[205, 211]",SH79.tsv,S0058,S0179
point,1,215,"[72, 280]",[215],SH79.tsv,S0058,S0179
without,1,74,[74],[3],SH79.tsv,S0058,S0179
way,1,74,"[74, 94, 96, 132, 158, 329, 445]","[11, 191, 328, 434]",SH79.tsv,S0058,S0179
we wouldn't,2,74,[74],[29],SH79.tsv,S0058,S0179
just a,2,74,"[74, 351, 441]","[31, 243, 251]",SH79.tsv,S0058,S0179
