Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
cos,1,30,"[0, 207, 345, 365, 483, 495, 701]","[30, 64, 231, 243, 247, 250, 568, 688, 54, 508]",S33B.tsv,S0103,S0018
yeah,1,38,"[0, 10, 63, 133, 135, 137, 139, 157, 189, 218, 224, 226, 232, 251, 331, 372, 448, 458, 545, 553, 567, 585, 589, 691, 707]","[38, 86, 132, 134, 142, 166, 243, 282, 306, 340, 342, 344, 409, 413, 429, 457, 463, 484, 502, 516, 554, 556, 570, 584, 604, 624, 630, 638, 648, 650, 652, 674, 676, 692, 696, 704, 706, 508]",S33B.tsv,S0103,S0018
help,1,40,"[0, 175, 386]","[40, 465]",S33B.tsv,S0103,S0018
cos i,2,54,"[0, 345]",[54],S33B.tsv,S0103,S0018
instructor,1,178,"[0, 477]",[178],S33B.tsv,S0103,S0018
the air,2,471,"[0, 587]",[471],S33B.tsv,S0103,S0018
with the,2,473,"[0, 49, 71, 179, 263, 442, 446, 450, 452, 525, 579, 587, 599, 653, 667]",[473],S33B.tsv,S0103,S0018
yeah cos,2,508,[0],[508],S33B.tsv,S0103,S0018
say,1,12,"[2, 4, 10, 21, 25, 35, 345, 351, 353, 386, 426, 446, 448, 468, 541, 563, 583, 587, 597, 633]","[12, 62, 463, 467]",S33B.tsv,S0103,S0018
different,1,30,"[2, 23, 55, 448, 456, 577]","[30, 54, 60, 134, 300, 624]",S33B.tsv,S0103,S0018
difficult,1,54,"[2, 21, 41, 45, 55, 456]","[54, 62]",S33B.tsv,S0103,S0018
difficult to,2,62,"[2, 21]",[62],S33B.tsv,S0103,S0018
they have a,3,134,"[2, 297]",[134],S33B.tsv,S0103,S0018
what the,2,136,"[2, 75, 155, 205, 207, 487]","[136, 580]",S33B.tsv,S0103,S0018
it's a,2,148,"[2, 257, 400, 416, 477, 615, 659]","[148, 371, 473, 628, 648, 652, 660]",S33B.tsv,S0103,S0018
find,1,223,"[2, 21, 41, 45, 365, 388, 531, 633]","[223, 253, 318]",S33B.tsv,S0103,S0018
