Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
sort,1,5,"[0, 14]","[5, 126, 156, 599, 1582]",SB9K.tsv,S0192,S0198
get,1,13,"[0, 37, 63, 65, 71, 87, 103, 121, 167, 171, 206, 254, 280, 330, 332, 350, 352, 395, 412, 417, 424, 426, 447, 490, 504, 508, 541, 555, 559, 570, 584, 596, 600, 618, 685, 749, 753, 801, 810, 828, 846, 913, 917, 945, 1024, 1048, 1050, 1054, 1060, 1084, 1117, 1196, 1200, 1204, 1218, 1224, 1226, 1228, 1232, 1289, 1291, 1306, 1310, 1326, 1334, 1336, 1353, 1390, 1392, 1410, 1421, 1423, 1431, 1437, 1443, 1451, 1455, 1481, 1515, 1519, 1521, 1531, 1627, 1638, 1673, 1688]","[13, 17, 142, 178, 182, 214, 231, 275, 351, 421, 431, 505, 529, 542, 556, 619, 628, 634, 665, 677, 682, 684, 688, 690, 756, 797, 892, 894, 983, 1036, 1039, 1056, 1077, 1089, 1106, 1122, 1146, 1157, 1181, 1201, 1205, 1207, 1209, 1299, 1313, 1350, 1387, 1440, 1446, 1452, 1454, 1468, 1520, 1532, 1552, 1612, 1672, 1676, 1678, 1684, 758, 1305, 1639]",SB9K.tsv,S0192,S0198
today,1,17,[0],"[17, 591, 1311, 1321, 1323]",SB9K.tsv,S0192,S0198
do you,2,168,"[0, 39, 83, 204, 215, 538, 576, 622, 666, 691, 717, 739, 824, 848, 898, 982, 997, 999, 1000, 1031, 1050, 1057, 1062, 1105, 1166, 1236, 1240, 1250, 1304, 1334, 1441, 1445, 1451, 1503, 1572, 1613]","[168, 442, 523, 712, 724, 756, 809, 987, 1061, 1151, 1157, 1191, 1201, 1352, 1466, 1552, 758, 487]",SB9K.tsv,S0192,S0198
what do you,3,487,"[0, 39]",[487],SB9K.tsv,S0192,S0198
do you get,3,758,"[0, 1050]",[758],SB9K.tsv,S0192,S0198
what do,2,1042,"[0, 39, 298, 321, 403, 538, 582, 717, 1312]","[1042, 1118]",SB9K.tsv,S0192,S0198
you get,2,1181,"[0, 1050]","[1181, 1305, 1639]",SB9K.tsv,S0192,S0198
might be,2,4,"[4, 6, 25, 57, 316, 387, 393, 743, 812]","[1, 56, 320, 357, 493, 785, 928]",SB9K.tsv,S0192,S0198
might,1,4,"[4, 6, 25, 57, 192, 194, 278, 288, 316, 387, 393, 399, 687, 689, 743, 812, 1024, 1541]","[3, 38, 56, 195, 320, 394, 636, 896, 914, 1317, 785, 928, 357, 493]",SB9K.tsv,S0192,S0198
able,1,78,"[4, 6, 75, 496, 618]",[78],SB9K.tsv,S0192,S0198
be able to,3,879,"[4, 6, 75, 496, 618]",[879],SB9K.tsv,S0192,S0198
bring,1,6,"[6, 75, 1062]","[5, 1247, 1534]",SB9K.tsv,S0192,S0198
it up,2,156,"[6, 93, 207]","[156, 979, 1140]",SB9K.tsv,S0192,S0198
definitely,1,287,"[10, 389, 547, 883, 911, 1131, 1298, 1336, 1481, 1564, 1587, 1679, 1681]","[287, 289, 529, 1219, 1590, 1620]",SB9K.tsv,S0192,S0198
a few,2,12,"[12, 294, 302, 883, 963, 1264, 1455]","[7, 682, 684, 734, 914, 440, 1534]",SB9K.tsv,S0192,S0198
we've,1,12,"[12, 308, 332, 395, 447, 504, 541, 555, 584, 596, 600, 810, 883, 1158, 1308, 1370]","[7, 9, 17, 126, 231, 505, 542, 556, 628, 1313, 1672, 742, 868]",SB9K.tsv,S0192,S0198
well,1,40,"[12, 55, 59, 67, 107, 109, 169, 183, 238, 258, 268, 278, 292, 304, 306, 308, 358, 486, 494, 518, 538, 642, 763, 804, 832, 854, 891, 913, 917, 959, 1057, 1104, 1220, 1340, 1345, 1358, 1394, 1410, 1416, 1485, 1617]","[40, 76, 78, 212, 214, 216, 221, 295, 326, 454, 487, 540, 560, 583, 589, 682, 750, 839, 862, 972, 985, 987, 1055, 1056, 1089, 1255, 1456, 1573, 1596]",SB9K.tsv,S0192,S0198
be do,2,45,"[12, 224, 298, 379, 381, 674, 947, 1572]",[45],SB9K.tsv,S0192,S0198
