Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
be a,2,91,"[0, 14, 123, 243, 284, 340, 342, 346]","[91, 118, 158, 269]",SCQW.tsv,S0607,S0644
yeah,1,7,"[2, 40, 77, 87, 92, 102, 110, 115, 117, 125, 127, 133, 138, 142, 144, 146, 148, 157, 159, 191, 203, 213, 215, 217, 227, 237, 239, 241, 280, 298, 321, 325, 352, 356, 368, 370, 425, 427, 431, 433, 444, 446, 453, 455, 460, 462, 465]","[7, 9, 11, 13, 15, 17, 19, 21, 47, 49, 64, 66, 116, 118, 120, 130, 132, 152, 153, 156, 168, 170, 174, 175, 177, 185, 190, 228, 244, 281, 283, 285, 318, 320, 322, 336, 339, 345, 375, 383, 393, 401, 403, 407, 409, 411, 413, 430, 443, 445, 472, 474]",SCQW.tsv,S0607,S0644
dunno,1,91,"[4, 71, 346]",[91],SCQW.tsv,S0607,S0644
i dunno,2,97,"[4, 71, 346]","[97, 224]",SCQW.tsv,S0607,S0644
work,1,158,"[4, 56, 384, 400, 406, 467]","[158, 190, 421]",SCQW.tsv,S0607,S0644
write,1,111,"[6, 71, 87]","[111, 116]",SCQW.tsv,S0607,S0644
like,1,37,"[8, 12, 14, 16, 18, 22, 26, 30, 32, 34, 40, 48, 52, 54, 60, 62, 71, 73, 81, 96, 131, 135, 163, 178, 199, 201, 205, 243, 252, 260, 272, 280, 284, 298, 309, 327, 342, 358, 374, 377, 392, 400, 402, 404, 406, 416, 463, 475, 479, 483]","[37, 39, 86, 111, 114, 118, 132, 134, 141, 145, 153, 154, 158, 194, 206, 220, 228, 238, 240, 271, 328, 369, 385, 393, 422, 424, 426, 428, 432, 458]",SCQW.tsv,S0607,S0644
do you,2,39,"[8, 81, 89, 96, 98, 176, 178, 197, 233, 288, 290, 394, 467]","[39, 93, 154, 190, 192, 432, 434, 454, 464, 466, 468, 385]",SCQW.tsv,S0607,S0644
thing,1,86,"[8, 34, 73, 85, 87, 176, 374, 376, 396, 479, 483]","[86, 91, 111, 145, 150, 238]",SCQW.tsv,S0607,S0644
i think,2,91,"[8, 18, 81, 243, 254, 288, 309, 329, 331, 346, 394, 398, 475]","[91, 216, 224, 269]",SCQW.tsv,S0607,S0644
you know,2,91,"[8, 81, 184, 197, 288, 290, 378, 380, 394]","[91, 126, 132, 145, 212, 214, 385]",SCQW.tsv,S0607,S0644
think i,2,93,[8],[93],SCQW.tsv,S0607,S0644
back,1,103,"[8, 73, 98, 104, 209, 260, 305, 307, 309, 313, 317, 327, 352, 410]","[103, 118]",SCQW.tsv,S0607,S0644
gonna,1,107,"[8, 34, 60, 83, 96, 457]","[107, 111, 226]",SCQW.tsv,S0607,S0644
