Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
submit what,2,5,[0],[5],SMYJ.tsv,S0326,S0329
mean,1,17,"[0, 18, 51, 55, 59, 119, 221, 322, 343, 433, 464, 520, 558]","[17, 167, 513, 523, 582, 140, 157, 210, 313, 358, 380, 431, 450, 452, 456, 463, 505, 537, 557]",SMYJ.tsv,S0326,S0329
be that,2,37,"[0, 51, 57, 69, 178, 219, 589]","[37, 240, 344, 358, 372, 567, 578, 584, 627]",SMYJ.tsv,S0326,S0329
one,1,37,"[0, 32, 57, 59, 61, 67, 79, 284, 299, 339, 341, 365, 605, 624]","[37, 146, 210, 288, 338, 340, 366, 370, 372, 374, 386, 431, 436, 604, 613]",SMYJ.tsv,S0326,S0329
yeah,1,39,"[0, 20, 26, 30, 32, 42, 45, 59, 69, 79, 85, 111, 127, 129, 133, 156, 168, 192, 199, 202, 207, 225, 227, 229, 231, 243, 251, 277, 287, 291, 295, 349, 353, 355, 381, 403, 405, 428, 430, 441, 451, 453, 462, 468, 470, 483, 485, 493, 502, 504, 506, 522, 528, 530, 536, 549, 551, 555, 558, 562, 570, 572, 575, 577, 579, 583, 597, 607, 614, 618, 635]","[39, 54, 78, 84, 86, 90, 103, 118, 138, 140, 146, 150, 163, 167, 189, 200, 203, 210, 214, 220, 226, 254, 258, 370, 388, 394, 406, 438, 459, 478, 482, 492, 573, 598, 634, 105, 107, 114, 187, 206, 230, 539]",SMYJ.tsv,S0326,S0329
gonna,1,74,"[0, 133, 247, 299, 320, 391, 395]","[74, 98, 122, 126, 140, 148, 226, 252, 317, 386, 394, 399, 401, 539, 134, 550]",SMYJ.tsv,S0326,S0329
actually,1,78,"[0, 153, 164, 217, 221, 328, 343, 377, 464]","[78, 118, 128, 201, 352, 372]",SMYJ.tsv,S0326,S0329
i've,1,100,"[0, 435, 542, 547, 577]","[100, 124, 193, 226, 234, 313, 346, 348, 370, 372, 386, 396, 432, 463, 576, 429]",SMYJ.tsv,S0326,S0329
er yeah i,3,105,[0],[105],SMYJ.tsv,S0326,S0329
yeah i,2,107,"[0, 227, 462, 549, 558, 579]","[107, 114, 187, 206, 230, 539, 210]",SMYJ.tsv,S0326,S0329
i be,2,110,"[0, 69, 273, 279, 433, 445, 460]","[110, 175, 230, 344, 394, 472, 513, 541, 550, 610]",SMYJ.tsv,S0326,S0329
thing be,2,118,"[0, 605]","[118, 394]",SMYJ.tsv,S0326,S0329
be gonna,2,134,"[0, 320]","[134, 550]",SMYJ.tsv,S0326,S0329
i mean,2,140,"[0, 18, 51, 59, 119, 221, 322, 343, 433, 464, 520, 558]","[140, 157, 228, 313, 358, 380, 431, 450, 456, 463, 505, 537, 557, 210, 452]",SMYJ.tsv,S0326,S0329
thing,1,140,"[0, 10, 22, 24, 59, 73, 81, 87, 119, 162, 217, 219, 221, 605]","[140, 175, 179, 198, 411, 446, 517, 580, 394]",SMYJ.tsv,S0326,S0329
yeah i mean,3,210,"[0, 558]",[210],SMYJ.tsv,S0326,S0329
what i,2,358,"[0, 6, 57, 69, 211, 445, 464]","[358, 541, 578]",SMYJ.tsv,S0326,S0329
that i've,2,372,[0],"[372, 429]",SMYJ.tsv,S0326,S0329
