Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
god,1,102,[0],[102],SG3P.tsv,S0619,S0618
nice to see you,4,2,[2],[1],SG3P.tsv,S0619,S0618
nice,1,36,"[2, 34, 115, 131]","[36, 65, 156, 116]",SG3P.tsv,S0619,S0618
see,1,36,[2],"[36, 85, 158, 184]",SG3P.tsv,S0619,S0618
nice to,2,116,[2],[116],SG3P.tsv,S0619,S0618
there's,1,79,"[4, 28]","[79, 178]",SG3P.tsv,S0619,S0618
yeah,1,9,"[6, 14, 16, 24, 30, 35, 38, 54, 56, 60, 64, 80, 95, 99, 117, 119, 121, 135, 159, 161, 165, 169, 171, 177, 179]","[9, 13, 21, 36, 37, 41, 43, 53, 57, 69, 71, 87, 96, 114, 116, 120, 174, 178, 182, 184, 186]",SG3P.tsv,S0619,S0618
okay,1,18,"[6, 70, 78]","[18, 45, 49, 100, 104, 106, 122, 124, 136, 160, 162, 168, 176]",SG3P.tsv,S0619,S0618
yeah yeah,2,21,"[6, 117, 159, 171]","[21, 37]",SG3P.tsv,S0619,S0618
i think,2,8,"[8, 20, 42, 56, 86, 95, 121, 131, 141, 159, 165]","[5, 11, 13, 36, 41, 55, 61, 85, 110, 116, 120, 132, 148, 166, 180]",SG3P.tsv,S0619,S0618
think,1,8,"[8, 20, 42, 56, 64, 86, 95, 121, 131, 135, 141, 159, 165, 167]","[5, 15, 57, 59, 116, 11, 13, 36, 41, 55, 61, 85, 110, 120, 132, 148, 166, 180]",SG3P.tsv,S0619,S0618
i don't know,3,12,"[12, 34, 161]","[5, 7, 61]",SG3P.tsv,S0619,S0618
so i,2,12,[12],[5],SG3P.tsv,S0619,S0618
i don't,2,12,"[12, 34, 161, 167]","[5, 13, 15, 57, 61, 92, 144, 7]",SG3P.tsv,S0619,S0618
know,1,12,"[12, 20, 34, 35, 56, 99, 111, 125, 151, 161]","[5, 36, 55, 57, 77, 98, 106, 116, 142, 148, 180, 7, 61]",SG3P.tsv,S0619,S0618
that be,2,36,"[12, 113]","[36, 61, 110, 166]",SG3P.tsv,S0619,S0618
away,1,158,"[12, 101, 173]",[158],SG3P.tsv,S0619,S0618
turn,1,138,"[16, 42, 88, 95, 105]","[138, 140, 142, 158]",SG3P.tsv,S0619,S0618
thank simon,2,18,[17],[18],SG3P.tsv,S0619,S0618
thank,1,19,[19],[18],SG3P.tsv,S0619,S0618
anyway,1,20,[20],"[1, 59]",SG3P.tsv,S0619,S0618
but i think,3,20,[20],"[5, 36]",SG3P.tsv,S0619,S0618
erm i,2,20,[20],[5],SG3P.tsv,S0619,S0618
you know,2,20,"[20, 34, 99, 151]","[5, 36, 106, 180]",SG3P.tsv,S0619,S0618
but i,2,20,[20],"[5, 15, 36, 57]",SG3P.tsv,S0619,S0618
think i,2,20,[20],"[5, 57]",SG3P.tsv,S0619,S0618
in the,2,20,"[20, 123, 135]","[5, 94]",SG3P.tsv,S0619,S0618
house,1,20,[20],[5],SG3P.tsv,S0619,S0618
go,1,20,"[20, 28, 58, 88, 105, 111, 121, 137, 143, 151, 167, 169, 173, 185]","[7, 13, 18, 36, 41, 94, 98, 116, 132, 144, 152, 178, 53, 158]",SG3P.tsv,S0619,S0618
sort of,2,20,"[20, 99, 101]","[13, 36, 98, 120]",SG3P.tsv,S0619,S0618
and i,2,20,"[20, 56]","[13, 57, 100, 116, 132, 182]",SG3P.tsv,S0619,S0618
like,1,20,"[20, 42, 46, 66, 72, 76, 105, 125]","[13, 36, 128, 130, 142, 158, 166, 180]",SG3P.tsv,S0619,S0618
get,1,20,"[20, 40, 99, 101, 109, 125, 161, 173]","[13, 36, 39, 41, 69, 73, 77, 94, 120, 130, 150, 166, 178, 180, 182]",SG3P.tsv,S0619,S0618
really,1,20,"[20, 56, 60]","[15, 36, 57, 59, 120, 176, 180, 182]",SG3P.tsv,S0619,S0618
go to the gym,4,20,[20],[18],SG3P.tsv,S0619,S0618
go to,2,20,"[20, 58, 88, 167, 173]","[18, 41, 53, 132, 158, 178]",SG3P.tsv,S0619,S0618
well,1,20,"[20, 56, 64, 72, 88, 167, 169]","[18, 61, 116, 120, 132, 180, 182, 142]",SG3P.tsv,S0619,S0618
for the,2,21,"[20, 22, 131]","[21, 75]",SG3P.tsv,S0619,S0618
kind of,2,36,[20],[36],SG3P.tsv,S0619,S0618
be like,2,36,"[20, 42]",[36],SG3P.tsv,S0619,S0618
they go,2,36,[20],[36],SG3P.tsv,S0619,S0618
and i be,3,41,[20],[41],SG3P.tsv,S0619,S0618
need to,2,41,[20],"[41, 154]",SG3P.tsv,S0619,S0618
i'm,1,41,"[20, 40, 91, 107, 109, 129]","[41, 100, 110]",SG3P.tsv,S0619,S0618
go to go,3,53,[20],"[53, 158]",SG3P.tsv,S0619,S0618
to go,2,53,"[20, 88, 137, 169, 173]","[53, 158]",SG3P.tsv,S0619,S0618
i really,2,57,[20],[57],SG3P.tsv,S0619,S0618
because i,2,59,"[20, 34]","[59, 158]",SG3P.tsv,S0619,S0618
i be,2,59,"[20, 42]","[59, 75]",SG3P.tsv,S0619,S0618
